T_K,D_Xe_tot,D1_Xe,D3_Xe,D2_Xe_diagnostic,D_v_tot,D1_v,D3_v,D2_v_paper_broken
1609.0452261306532,6.176478037163505e-19,5.251478037163505e-19,9.25e-20,3.642788155653029e-105,2.550254280245131e-20,2.525454280245131e-20,2.48e-22,6.539810379254256e-07
1616.0804020100504,7.057512714673093e-19,6.132512714673093e-19,9.25e-20,4.185688861589811e-105,3.0413714402254786e-20,3.016571440225479e-20,2.48e-22,6.29885588525733e-07
1623.1155778894472,8.076735798597986e-19,7.151735798597986e-19,9.25e-20,4.817659478423278e-105,3.622448404649161e-20,3.5976484046491614e-20,2.48e-22,6.069226156115511e-07
1630.1507537688442,9.254292779793337e-19,8.329292779793337e-19,9.25e-20,5.554124698149251e-105,4.3089382847872255e-20,4.284138284787226e-20,2.48e-22,5.850290063203453e-07
1637.1859296482412,1.0613039136465297e-18,9.688039136465296e-19,9.25e-20,6.413284098760696e-105,5.118770390551547e-20,5.0939703905515473e-20,2.48e-22,5.641456690935247e-07
1644.2211055276382,1.2178873634012363e-18,1.1253873634012362e-18,9.25e-20,7.416624920204586e-105,6.072717961801045e-20,6.047917961801045e-20,2.48e-22,5.442172473822251e-07
1651.2562814070352,1.398110864946129e-18,1.3056108649461289e-18,9.25e-20,8.589531438761483e-105,7.194816098001066e-20,7.170016098001067e-20,2.48e-22,5.251918557667085e-07
1658.2914572864322,1.6052881172964763e-18,1.5127881172964763e-18,9.25e-20,9.962009380819231e-105,8.5128361181492e-20,8.4880361181492e-20,2.48e-22,5.070208365825077e-07
1665.3266331658292,1.843160845083375e-18,1.750660845083375e-18,9.25e-20,1.1569547367824321e-104,1.0058823276310166e-19,1.0034023276310166e-19,2.48e-22,4.896585353211973e-07
1672.3618090452262,2.1159492568730784e-18,2.0234492568730783e-18,9.25e-20,1.3454141621864537e-104,1.1869705519247702e-19,1.1844905519247703e-19,2.48e-22,4.730620932311732e-07
1679.3969849246232,2.428407863112232e-18,2.335907863112232e-18,9.25e-20,1.5665515218909285e-104,1.3987981807110713e-19,1.3963181807110713e-19,2.48e-22,4.5719125568611906e-07
1686.43216080402,2.7858871575142275e-18,2.6933871575142274e-18,9.25e-20,1.826256921293576e-104,1.6462499431904397e-19,1.6437699431904398e-19,2.48e-22,4.420081950173027e-07
1693.4673366834172,3.1944017064912335e-18,3.1019017064912334e-18,9.25e-20,2.1315110158440444e-104,1.9349330767926149e-19,1.9324530767926149e-19,2.48e-22,4.274773466220629e-07
1700.502512562814,3.6607052347418464e-18,3.568205234741846e-18,9.25e-20,2.4905907157088672e-104,2.271276098024412e-19,2.2687960980244117e-19,2.48e-22,4.135652572659271e-07
1707.5376884422112,4.1923733414615746e-18,4.0998733414615745e-18,9.25e-20,2.913314181612852e-104,2.662639940884488e-19,2.6601599408844876e-19,2.48e-22,4.002404445909499e-07
1714.572864321608,4.7978945309886975e-18,4.705394530988697e-18,9.25e-20,3.411332675306026e-104,3.117442864488726e-19,3.114962864488726e-19,2.48e-22,3.874732669291042e-07
1721.6080402010052,5.4867702941784435e-18,5.394270294178443e-18,9.25e-20,3.9984782896374735e-104,3.645300672971155e-19,3.6428206729711546e-19,2.48e-22,3.752358025976596e-07
1728.643216080402,6.26962503255237e-18,6.17712503255237e-18,9.25e-20,4.6911783272951385e-104,4.257183944535995e-19,4.2547039445359947e-19,2.48e-22,3.6350173792443264e-07
1735.678391959799,7.158326676456071e-18,7.065826676456071e-18,9.25e-20,5.508949178384872e-104,4.965594133650069e-19,4.963114133650069e-19,2.48e-22,3.5224626331510414e-07
1742.713567839196,8.166118911218535e-18,8.073618911218535e-18,9.25e-20,6.474985030103998e-104,5.78476059173104e-19,5.78228059173104e-19,2.48e-22,3.4144597673331114e-07
1749.748743718593,9.307765991805193e-18,9.215265991805193e-18,9.25e-20,7.616859704201364e-104,6.7308607483186865e-19,6.728380748318687e-19,2.48e-22,3.3107879401732917e-07
1756.78391959799,1.0599711196847497e-17,1.0507211196847497e-17,9.25e-20,8.967363451893203e-104,7.822265907675843e-19,7.819785907675843e-19,2.48e-22,3.2112386550551757e-07
1763.819095477387,1.2060250047374825e-17,1.1967750047374825e-17,9.25e-20,1.056550075121313e-103,9.079815346171375e-19,9.077335346171375e-19,2.48e-22,3.115614984866833e-07
1770.854271356784,1.3709719494240245e-17,1.3617219494240245e-17,9.25e-20,1.2457680179185662e-103,1.0527121644825523e-18,1.0524641644825522e-18,2.48e-22,3.0237308503159596e-07
1777.8894472361808,1.5570704361275225e-17,1.5478204361275226e-17,9.25e-20,1.4699133426388876e-103,1.219091046028885e-18,1.218843046028885e-18,2.48e-22,2.9354103479838516e-07
1784.924623115578,1.766826241881188e-17,1.757576241881188e-17,9.25e-20,1.7355607669690024e-103,1.4101398227567793e-18,1.4098918227567793e-18,2.48e-22,2.8504871243785125e-07
1791.9597989949748,2.0030169554532203e-17,1.9937669554532204e-17,9.25e-20,2.0505384040698862e-103,1.6292711600369571e-18,1.629023160036957e-18,2.48e-22,2.768803792550976e-07
1798.994974874372,2.2687186605822743e-17,2.2594686605822745e-17,9.25e-20,2.42416850850713e-103,1.880335277144019e-18,1.880087277144019e-18,2.48e-22,2.690211388116146e-07
1806.0301507537688,2.5673349520104576e-17,2.5580849520104578e-17,9.25e-20,2.867554621316965e-103,2.167671517718765e-18,2.1674235177187652e-18,2.48e-22,2.61456886177284e-07
1813.065326633166,2.902628461713699e-17,2.893378461713699e-17,9.25e-20,3.3939240566671544e-103,2.4961654479790434e-18,2.4959174479790436e-18,2.48e-22,2.541742605649256e-07
1820.1005025125628,3.278755084025296e-17,3.269505084025296e-17,9.25e-20,4.019036390942811e-103,2.8713120137500218e-18,2.871064013750022e-18,2.48e-22,2.4716060110117725e-07
1827.1356783919598,3.700301100203572e-17,3.6910511002035724e-17,9.25e-20,4.761670661813587e-103,3.2992853321649706e-18,3.2990373321649707e-18,2.48e-22,2.4040390550687985e-07
1834.1708542713568,4.1723234154271986e-17,4.163073415427199e-17,9.25e-20,5.644206422162403e-103,3.78701574187363e-18,3.78676774187363e-18,2.48e-22,2.3389279147788077e-07
1841.2060301507538,4.7003931342309706e-17,4.691143134230971e-17,9.25e-20,6.693316695603087e-103,4.342274786971551e-18,4.342026786971551e-18,2.48e-22,2.2761646057341163e-07
1848.2412060301508,5.2906427140356146e-17,5.281392714035615e-17,9.25e-20,7.94079433444715e-103,4.973768864817284e-18,4.973520864817284e-18,2.48e-22,2.2156466443410548e-07
