stage,f_n,K_d,g_d_scale,seed_nm,score_main,score_alt_total_ig,score_swd,score_swig,score_burnup_d,score_burnup_ig,score_Nd,score_Rd,score_pressure,score_highT_penalty,probe_swelling_d_1600_13,probe_swelling_ig_1600_13,probe_Nd_1600_13,probe_Rd_nm_1600_13,probe_p_b_over_eq_1600_13,probe_p_d_over_eq_1600_13
refine,3.16227766016838e-08,150000.0,0.25,0.0,3.456920542181186,1.9979754594980093,2.0636214279643896,1.0228254644592616,2.8085319912327296,1.1359355145205352,0.6411437938100429,0.3462363724879768,0.0,0.0,0.253246514242987,1.745147284240816,4.4528853355766287e+18,51.39700173954553,1.0007740378221879,0.780657623084306
coarse,3e-07,300000.0,0.5,0.0,3.4781395377811637,2.1141711217406116,2.0880089373812405,1.1059765316170718,2.837780211560506,1.3100361704549741,0.5129636594862761,0.4594442655277191,0.0,0.0,0.22269103905605314,1.484016740458025,8.91669071229083e+18,39.06640755905664,1.0005601143512168,0.8105425283520691
coarse,1e-07,500000.0,0.5,0.0,3.4838535721780133,2.0959757224109707,2.0607381743184305,1.068601705933872,2.8100547668107136,1.227089241280777,0.5192370446242652,0.5101939641713128,0.0,0.0,0.25162233551043434,1.591581048501512,1.4844083130755623e+19,34.332260619846934,1.0006293603764684,0.8441640170838276
coarse,3e-08,800000.0,0.5,0.0,3.506505740622233,2.1188123803283667,2.013070738331017,1.0308391387608744,2.7609605628569684,1.1391135199620737,0.6011957266848466,0.5462255041394017,0.0,0.0,0.30291174971370693,1.7417664610804233,2.3702754238290215e+19,31.247089085258857,1.0007836953458649,0.8851244950997531
refine,9.486832980505139e-07,100000.0,0.5,0.0,3.5171960133950786,2.1942695979153948,2.0722756613044537,1.1148501479242334,2.8169165626524455,1.3549129542545928,0.7627016182149342,0.29542868382437043,0.0,0.0,0.2444674540227395,1.4352715655074941,2.9695131833406536e+18,58.140986216050585,1.0005365022074137,0.8144717037210956
coarse,1e-06,100000.0,0.5,0.0,3.522275411456567,2.2003447860568257,2.0751250607763754,1.1181222329464857,2.8199693695375005,1.3602581792580941,0.7626842015484044,0.297541524588476,0.0,0.0,0.2412799422243364,1.4292500326642283,2.969904204454383e+18,57.88464709870349,1.0005370821480157,0.8105141744814687
refine,3.16227766016838e-08,300000.0,0.25,0.0,3.5287620681256393,2.0436532875665296,2.114556380925851,1.0527111990692177,2.868918840860155,1.1758644460502505,0.5131536714836018,0.4825262956374682,0.0,0.0,0.1902400329633933,1.6840201473389382,8.927507085844707e+18,37.05336886843017,1.0007774642819642,0.7519924145831668
coarse,1e-06,200000.0,0.5,0.0,3.542023858790934,2.210352556374916,2.1207382377707567,1.1557497780478172,2.8723830343995838,1.4056516636272698,0.572477288090929,0.43207965822375827,0.0,0.0,0.18660588513448026,1.375734133747041,5.952814496883443e+18,42.140995679246025,1.000542783486592,0.7620684829245365
coarse,1e-08,100000.0,0.5,0.0,3.545617581909263,2.7243478053825974,1.4955980035605958,0.9629679229016886,2.1267021562121236,0.9721433727410894,0.7661673337371364,0.10228534402131917,0.0,0.9104271648647174,0.9744558261912266,2.503074071792808,2.884174204701555e+18,93.08592519997106,1.0010647621692181,1.0006985412161555
refine,3.162277660168379e-07,450000.0,0.5,0.0,3.573672318499782,2.2024209048817687,2.118302704183767,1.1298293601382212,2.8740106110262453,1.3428983327363762,0.5109884502882523,0.5416786376538241,0.0,0.0,0.18490943835699536,1.4439695786217663,1.3394486353766187e+19,32.061325161385874,1.000560370308905,0.7960787182897843
refine,9.486832980505139e-07,300000.0,0.5,0.0,3.581727275666194,2.243681157627222,2.14139022452441,1.1715688812439022,2.8973607761311544,1.4244616770972969,0.5134471485478982,0.5094055044649527,0.0,0.0,0.1605818797847539,1.3533723335713959,8.938467875535038e+18,35.003780206361895,1.0005458142049986,0.7466552237479837
coarse,1e-06,300000.0,0.5,0.0,3.5860783551423996,2.2494341577830563,2.1434937480041345,1.174450462648545,2.899934647796276,1.4295309997812593,0.5134660115188032,0.5116781958943346,0.0,0.0,0.15790103746316028,1.3478443550284374,8.939466591967601e+18,34.806598970965275,1.0005466486282355,0.7447802691715242
coarse,3e-07,500000.0,0.5,0.0,3.5980803212986356,2.2238146718520495,2.1221618103099456,1.1316410282655245,2.878560774144756,1.3435813045360947,0.5203183962180679,0.5600792001426484,0.0,0.0,0.18016705785707723,1.4429385136312514,1.4885844820087499e+19,30.685822128657367,1.000562817194104,0.794380324342069
coarse,1e-06,800000.0,1.0,0.0,3.604111719219811,2.3232859937199004,2.0689927431008104,1.1456463177591865,2.827792788615631,1.397875587982483,0.602399555232322,0.580701557574954,0.0,0.0,0.23304601591909213,1.3848691042176575,2.377145339665751e+19,28.604373882812553,1.000494165837076,0.9163913734647711
refine,3.16227766016838e-08,450000.0,0.25,0.0,3.6148564977189594,2.117778933783051,2.1387111638953593,1.067173197485691,2.89677346219737,1.1946150720924074,0.5112538618784337,0.5629632356562204,0.0,0.0,0.16121614591434735,1.6562275293183701,1.3406811392958235e+19,30.619503328084356,1.000779805149553,0.7361215285976441
coarse,1e-07,800000.0,0.5,0.0,3.652983713007063,2.2508978875093937,2.0962299486136913,1.092358873007667,2.851551671613732,1.2586926720471523,0.603056913954239,0.6024657238885306,0.0,0.0,0.2083139798666559,1.549925988232555,2.3791738855319556e+19,27.546591848696906,1.0006306692874254,0.8326111183127152
refine,9.486832980505139e-09,750000.0,0.25,0.0,3.677992704508623,2.165399700834697,2.1181359018966175,1.0406067688487692,2.875582167618156,1.135326685113842,0.5885782296066849,0.612794999975411,0.0,0.0,0.18328159973854274,1.822638407429547,2.2326493898627686e+19,26.961036016856564,1.0010183189826987,0.786628388160082
coarse,1e-06,500000.0,0.5,0.0,3.6927442598160174,2.350706671708813,2.1673465023734706,1.193904587280894,2.929001028990696,1.454618336932185,0.5210928488422965,0.6119750085789503,0.0,0.0,0.12764307731269922,1.3187213745193216,1.491538909492444e+19,27.337451348237085,1.000552018148077,0.7263346261718815
