case,case_group,final_burnup,grain_radius_um,max_temperature,base_temperature,temperature_excursion,time_at_peak,time_above_1200,time_above_1500,time_above_1800,thermal_dose_1500,thermal_dose_1800,ramp_up_duration,ramp_down_duration,max_heating_rate,max_cooling_rate,peak_fission_rate,mean_fission_rate,fluence_proxy,transient_fluence_proxy,min_hydrostatic_stress,dislocation_density,inferred_k_exp,inferred_spacing_nm,exp_density_bub_m3,exp_radius_m,exp_swelling_percent,calc_density_bub_m3,calc_radius_m,calc_swelling_percent,density_ratio_calc_exp,radius_ratio_calc_exp,swelling_ratio_calc_exp,inferred_k_exp
test_White2004_4065-5,4065,8.535511,10.8,2078.0,1335.0,743.0,0.00020000000040454324,12789.370169435217,0.6288309216030572,0.3025518965497773,240.96820000009757,115.89820000004693,0.7834000000002561,0.049999999999272404,948.4299208574893,30100.000000438013,1.11e+19,5.350155192299619e+18,6.842522666500002e+22,6.444575000004352e+18,-10.22,0.0,0.0,0.0,4.04e+19,4.5500000000000004e-08,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_White2004_4135-1,4135,13.74824,8.32,2055.0,1331.0,724.0,0.044500000003608875,22607.0974777482,0.9170891736129401,0.4430001164806753,339.1227000014769,154.91550000067946,1.105599999998958,6.033299999999144,83783.78378593663,83513.51351565942,9.76e+18,4.873951151949294e+18,1.1021343306250002e+23,2.958950582500018e+21,-9.95,24762060000000.0,1651720.4142143263,605.4293398533007,4.09e+19,2.75e-08,0.37,2.476206e+19,1.242359e-07,19.88915,0.6054293398533007,4.517669090909091,53.75445945945946,1651720.4142143263
test_White2004_4135-2,4135,13.74824,8.32,2055.0,1331.0,724.0,0.044500000003608875,22607.097476778377,0.9167273680692813,0.4419738125837948,338.5309500014773,154.33485000067958,1.105599999998958,6.033299999999144,83783.78378593663,83423.42342556702,9.76e+18,4.873951151949294e+18,1.1021343306250002e+23,2.958950582500018e+21,-9.97,24762060000000.0,1441721.7307445342,693.6151260504201,3.57e+19,2.52e-08,0.25,2.476206e+19,1.24234e-07,19.88826,0.6936151260504202,4.929920634920634,79.55304,1441721.7307445342
test_White2004_4135-3,4135,13.75738,8.32,2039.0,1324.0,715.0,0.04439999999885913,22577.232797653185,0.9025600223121425,0.42235892580211304,329.25034999917443,145.08034999963456,1.105599999998958,6.033400000000256,82702.70270482777,82432.43243455056,9.77e+18,4.883629657411508e+18,1.102866818385e+23,2.9589614784999876e+21,-11.04,24840010000000.0,2169886.4050376792,460.8536178107606,5.39e+19,2.1800000000000003e-08,0.25,2.484001e+19,1.235391e-07,19.61798,0.4608536178107607,5.66693119266055,78.47192,2169886.4050376792
test_White2004_4136-1,4136,10.85844,10.35,2125.0,1255.0,870.0,0.0,19667.71152463768,0.7725612099380839,0.37971335697953296,319.39684999954443,150.22684999978628,1.0832999999984168,6.0112000000008265,1831.8318318789013,86249.99999363483,1.03e+19,4.373678643069049e+18,8.8880637765e+22,2.9375192899999923e+21,-14.51,4370116000000.0,1395843.9547142456,716.4124590163934,6.1e+18,5.2e-08,0.35,4.370116e+18,1.293856e-07,3.9649660000000004,0.7164124590163934,2.488184615384615,11.328474285714288,1395843.9547142456
test_White2004_4136-2,4136,10.85045,10.35,2114.0,1251.0,863.0,0.0,19652.747085594987,0.7644807818662734,0.3682053951775745,313.1939500005592,144.02395000025535,1.0833000000020547,6.011199999997189,1831.831831678776,85535.71430718551,1.03e+19,4.373681353925924e+18,8.8815243337e+22,2.937519290000002e+21,-16.68,4325829000000.0,1733771.723292807,576.7772,7.5e+18,4.7700000000000004e-08,0.34,4.325829e+18,1.293705e-07,3.923412,0.5767772,2.7121698113207544,11.539447058823528,1733771.723292807
test_White2004_4136-3,4136,10.8425,10.35,2082.0,1240.0,842.0,0.0,19607.99117080214,0.7415503009798975,0.33568995307935184,296.203349999254,127.0483499996626,1.0832999999984168,36.011099999999715,1771.771771817298,84234.23423639865,1.04e+19,4.380160723103243e+18,8.875078065419998e+22,2.872570042199984e+21,-19.34,4281781000000.0,3549924.6691972334,281.69611842105263,1.52e+19,3.36e-08,0.24,4.281781e+18,1.288186e-07,3.833971,0.28169611842105263,3.833886904761904,15.974879166666668,3549924.6691972334
test_White2004_4136-4,4136,10.86811,10.35,2022.0,1220.0,802.0,0.0,19548.635551910113,0.695708460401571,0.26971487664439137,263.99729999933334,94.84229999974195,1.0832999999984168,6.011099999999715,1681.681681724893,80180.18018224044,1.04e+19,4.403372890035281e+18,8.895974143099997e+22,2.950556630999984e+21,-17.14,4423779000000.0,5606066.668339444,178.37818548387096,2.48e+19,2.5800000000000003e-08,0.18,4.423779e+18,1.268499e-07,3.782267,0.17837818548387097,4.916662790697674,21.012594444444446,5606066.668339444
test_White2004_4140-1,4140,10.84805,9.0,2022.0,1254.0,768.0,0.0,20316.18777092511,0.7439179687494857,0.31637890624978127,285.6644999998025,121.489499999916,1.0832999999984168,6.0112000000008265,708.944890613055,68571.42856636806,9.53e+18,4.3694938325078124e+18,8.879559525e+22,2.8524767749999947e+21,-10.8,4312536000000.0,3153596.862727639,317.0982352941176,1.36e+19,3.2200000000000004e-08,0.2,4.312536e+18,1.050976e-07,2.097009,0.3170982352941176,3.263900621118012,10.485045,3153596.862727639
test_White2004_4140-2,4140,10.84805,9.0,2015.0,1252.0,763.0,0.0,20316.171499263623,0.7387516382694762,0.30841087811249973,281.83374999980515,117.65874999991865,1.0832999999984168,6.0112000000008265,704.3293639814596,68124.99999497244,9.54e+18,4.369494101801069e+18,8.87956007225e+22,2.8524822474999946e+21,-11.71,4312540000000.0,5031837.385856131,198.73456221198157,2.17e+19,2.49e-08,0.15,4.31254e+18,1.049774e-07,2.0898239999999997,0.19873456221198157,4.21595983935743,13.932159999999998,5031837.385856131
test_White2004_4162-1,4162,11.22949,9.15,2071.0,1371.0,700.0,0.0,16621.18069754852,0.6181431198022054,0.2933744053702236,217.2369500003224,103.10195000015301,0.75,0.06090000000040163,933.3333333333334,89816.513752163,1.1e+19,5.530102995055408e+18,9.1917677322e+22,6.749192000015173e+18,-30.95,6501634000000.0,8121035.419711414,123.13700757575758,5.28e+19,5.06e-08,2.86,6.501634e+18,1.309052e-07,6.109160999999999,0.12313700757575757,2.5870592885375494,2.1360702797202795,8121035.419711414
test_White2004_4162-2,4162,11.22949,9.23,2061.0,1367.0,694.0,0.0,16621.180665190524,0.6125655398493481,0.2849903848496968,213.43245000031675,99.29745000014736,0.75,0.06090000000040163,925.3333333333334,89082.56879811059,1.1e+19,5.530102995055408e+18,9.1917677322e+22,6.749192000015173e+18,-32.68,6501634000000.0,12873686.830110708,77.67782556750298,8.37e+19,3.6700000000000004e-08,1.73,6.501634e+18,1.309982e-07,6.122190000000001,0.07767782556750298,3.5694332425068116,3.538838150289018,12873686.830110708
test_White2004_4162-3,4162,11.23005,10.05,2033.0,1355.0,678.0,0.0,16592.001743203375,0.59583601648873,0.260468652611396,202.8331500008935,88.6681500003906,0.75,0.061100000002625166,904.0,85495.49546967153,1.1e+19,5.54010291471756e+18,9.192223575075e+22,6.755070750017904e+18,-27.86,6504943000000.0,20753448.569802996,48.18476296296296,1.35e+20,3.06e-08,1.62,6.504943e+18,1.319896e-07,6.265438,0.048184762962962965,4.3133856209150325,3.867554320987654,20753448.569802996
test_White2004_4162-4,4162,11.23116,7.869999999999999,1971.0,1329.0,642.0,0.0,16533.959752212388,0.5560690430903322,0.2018849392111397,179.26260000019465,65.08260000007067,0.75,0.06120000000373693,856.0,80714.28570832909,1.1e+19,5.5601027412214e+18,9.19313581188e+22,6.765006800006107e+18,-21.8,6511566000000.0,29025275.9474449,34.452730158730155,1.89e+20,2.4600000000000002e-08,1.22,6.511566e+18,1.268135e-07,5.562507,0.03445273015873016,5.155020325203251,4.559431967213115,29025275.9474449
test_White2004_4163-1,4163,11.25731,9.67,2077.0,1193.0,884.0,0.055899999999383,0.11789348103455857,0.09668704510462393,0.0754806091746893,56.22865000012007,26.99365000005764,0.033100000000558794,0.050000000001091394,26706.94864003252,30079.999999343418,1.1e+19,5.929996593797744e+18,9.214538687150001e+22,7.713415000027452e+17,-26.87,6667307000000.0,2804730.6056253295,356.5404812834225,1.87e+19,7.640000000000001e-08,3.49,3.80397e+18,1.334885e-07,3.790155,0.20342085561497325,1.74723167539267,1.0860042979942692,2804730.6056253295
test_White2004_4163-2,4163,11.25731,8.399999999999999,2072.0,1191.0,881.0,0.055899999999383,0.11774791889315088,0.09646996514529496,0.07519201139743904,55.74140000011903,26.5064000000566,0.033100000000558794,0.050000000001091394,26616.314198946435,29979.9999993456,1.1e+19,5.929996593797744e+18,9.214538687150001e+22,7.713415000027452e+17,-27.54,6667307000000.0,6209403.58678549,161.04606280193235,4.14e+19,5.570000000000001e-08,3.0,3.809171e+18,1.322554e-07,3.6911319999999996,0.092008961352657,2.374423698384201,1.2303773333333332,6209403.58678549
test_White2004_4163-3,4163,11.25786,9.67,2037.0,1181.0,856.0,0.0555000000003929,0.11674471043381092,0.09479320131789047,0.07284169220197005,52.196400000084395,23.036400000037247,0.033400000000256114,0.049999999999272404,25628.742514773538,29280.00000042608,1.1e+19,5.939996534107226e+18,9.214991764e+22,7.712979999996242e+17,-29.44,6670612000000.0,16340329.792828605,61.1982752293578,1.09e+20,3.56e-08,2.05,3.815797e+18,1.310328e-07,3.595956,0.03500731192660551,3.680696629213483,1.7541248780487808,16340329.792828605
test_White2004_4163-4,4163,11.25897,8.1,1976.0,1164.0,812.0,0.05559999999968568,0.11507867026694404,0.09208433897805551,0.06909000768916695,46.29099999990649,17.115999999965425,0.03330000000096334,0.049999999999272404,24384.384383678967,28060.000000408327,1.1e+19,5.959996345452531e+18,9.2158987218e+22,7.713340000017341e+17,-11.06,6677229000000.0,26657764.77038604,37.51252247191011,1.78e+20,2.69e-08,1.45,3.826688e+18,1.292594e-07,3.461772,0.021498247191011236,4.805182156133829,2.387428965517241,26657764.77038604
