source	case	temperature	pu_m_percent	om	exp_mu	sci_mu	residual
ChiltonAndKirkham1975	ChiltonAndKirkham1975/T_1518K_q_31p44	1518.0	31.44	2.003	-198.4	-201.5531	-3.153099999999995
ChiltonAndKirkham1975	ChiltonAndKirkham1975/T_1518K_q_31p44	1518.0	31.44	2.005	-186.4	-188.6730076923082	-2.273007692308198
ChiltonAndKirkham1975	ChiltonAndKirkham1975/T_1518K_q_31p44	1518.0	31.44	2.011	-177.7	-168.76815384615378	8.931846153846209
ChiltonAndKirkham1975	ChiltonAndKirkham1975/T_1518K_q_31p44	1518.0	31.44	2.017	-169.8	-157.779707692308	12.020292307692017
ChiltonAndKirkham1975	ChiltonAndKirkham1975/T_1518K_q_31p44	1518.0	31.44	2.029	-160.7	-144.2986	16.401399999999995
ChiltonAndKirkham1975	ChiltonAndKirkham1975/T_1518K_q_31p59	1518.0	31.59	2.009	-178.4	-173.4521	4.947900000000004
ChiltonAndKirkham1975	ChiltonAndKirkham1975/T_1623K_q_14p98	1623.0	14.98	2.004	-208.1	-241.008	-32.908000000000015
ChiltonAndKirkham1975	ChiltonAndKirkham1975/T_1623K_q_14p98	1623.0	14.98	2.007	-199.9	-225.94517169811272	-26.04517169811271
ChiltonAndKirkham1975	ChiltonAndKirkham1975/T_1623K_q_14p98	1623.0	14.98	2.013	-190.0	-209.22947169811334	-19.229471698113343
ChiltonAndKirkham1975	ChiltonAndKirkham1975/T_1623K_q_14p98	1623.0	14.98	2.024	-184.1	-192.68645283018873	-8.586452830188733
ChiltonAndKirkham1975	ChiltonAndKirkham1975/T_1623K_q_14p98	1623.0	14.98	2.033	-176.2	-184.09218490566047	-7.892184905660486
ChiltonAndKirkham1975	ChiltonAndKirkham1975/T_1623K_q_14p98	1623.0	14.98	2.047	-168.2	-174.54808113207545	-6.348081132075464
ChiltonAndKirkham1975	ChiltonAndKirkham1975/T_1623K_q_14p98	1623.0	14.98	2.057	-161.7	-169.3421	-7.642099999999999
ChiltonAndKirkham1975	ChiltonAndKirkham1975/T_1623K_q_31p44	1623.0	31.44	2.0	-193.9	-294.2653	-100.36530000000002
ChiltonAndKirkham1975	ChiltonAndKirkham1975/T_1623K_q_31p44	1623.0	31.44	2.001	-207.4	-233.2941347826082	-25.894134782608205
ChiltonAndKirkham1975	ChiltonAndKirkham1975/T_1623K_q_31p44	1623.0	31.44	2.002	-180.7	-214.69896086956655	-33.99896086956656
ChiltonAndKirkham1975	ChiltonAndKirkham1975/T_1623K_q_31p44	1623.0	31.44	2.007	-175.9	-180.92353478260816	-5.023534782608152
ChiltonAndKirkham1975	ChiltonAndKirkham1975/T_1623K_q_31p44	1623.0	31.44	2.011	-166.9	-168.7266826086953	-1.8266826086953074
ChiltonAndKirkham1975	ChiltonAndKirkham1975/T_1623K_q_31p44	1623.0	31.44	2.021	-160.0	-151.277247826087	8.722752173912994
ChiltonAndKirkham1975	ChiltonAndKirkham1975/T_1623K_q_31p44	1623.0	31.44	2.023	-156.2	-148.8219	7.378099999999989
