T_K,burnup_percent_fima,fgr_percent,swelling_total_percent,swelling_gas_total_percent,swelling_solid_percent,F_c
2000.0,3.4347826086956523,38.01828413268546,64.15201369574376,62.43462239139593,1.7173913043478262,0.5
2000.0,3.691304347826087,40.15738591820451,65.31693861405051,63.471286440137476,1.8456521739130438,0.5
2000.0,3.947826086956522,42.1382848042013,66.30817111172432,64.33425806824606,1.973913043478261,0.5
2000.0,4.2043478260869565,43.97651726551912,67.18708145116388,65.0849075381204,2.1021739130434782,0.5
2000.0,4.460869565217391,45.6842956602201,67.98910114618364,65.75866636357495,2.2304347826086954,0.5
2000.0,4.717391304347826,47.2739849853297,68.73684287569685,66.37814722352294,2.358695652173913,0.5
2000.0,4.973913043478261,48.75544443951915,69.44386304324013,66.956906521501,2.4869565217391303,0.5
2000.0,5.230434782608696,50.137706747466304,70.11938212746806,67.50416473616372,2.615217391304348,0.5
2000.0,5.48695652173913,51.43010744278843,70.77046087417237,68.0269826133028,2.7434782608695647,0.5
2000.0,5.743478260869566,52.639491066005554,71.40107260535001,68.52933347491522,2.8717391304347832,0.5
2000.0,6.0,53.773287244310175,72.01445010513737,69.01445010513737,3.0,0.5
2200.0,0.1,0.0,0.39215796718218265,0.34215796718218267,0.05,0.025961874297626628
2200.0,0.35652173913043483,0.0,2.2866683791772378,2.1084075096120203,0.1782608695652174,0.13886453751969177
2200.0,0.6130434782608696,0.0,5.1105822709527295,4.804060531822294,0.3065217391304348,0.3138863027680678
2200.0,0.8695652173913043,6.08643943596214,8.626688220778867,8.191905612083215,0.43478260869565216,0.5
2200.0,1.1260869565217393,11.729087075769135,11.830620462120327,11.267576983859458,0.5630434782608696,0.5
2200.0,1.3826086956521741,16.241975618306974,15.824367532656856,15.13306318483077,0.6913043478260871,0.5
2200.0,1.6391304347826088,20.101019931637797,21.59372463394941,20.774159416558106,0.8195652173913044,0.5
2200.0,1.8956521739130436,23.570324316621694,61.7454044818886,60.797578394932074,0.947826086956522,0.5
