Time (s),Average dC (atm/m^3)
3110000.0,5.592482390017968e+24
3120000.0,5.592482869300903e+24
3130000.0,5.59248351992955e+24
3140000.0,5.592483369468419e+24
3150000.0,5.592483764215534e+24
3160000.0,5.592483283910367e+24
3170000.0,5.592483990527991e+24
3180000.0,5.59248724975325e+24
3190000.0,5.592486821214318e+24
3200000.0,5.592497981160301e+24
3210000.0,5.592505423748519e+24
3220000.0,5.592499961650869e+24
3230000.0,5.592497241968298e+24
3240000.0,5.592491302223096e+24
3250000.0,5.592492254588246e+24
3260000.0,5.592490814985619e+24
3270000.0,5.592490414453992e+24
3280000.0,5.592489576083241e+24
3290000.0,5.592492479571715e+24
3300000.0,5.592488580006003e+24
3310000.0,5.592496405548463e+24
3320000.0,5.592492565310393e+24
3330000.0,5.592490840034206e+24
3340000.0,5.592488795536524e+24
3350000.0,5.592486901562238e+24
3360000.0,5.59248593087651e+24
3370000.0,5.592485424872297e+24
3380000.0,5.592484047964287e+24
3390000.0,5.592484472551519e+24
3400000.0,5.592483597348412e+24
3410000.0,5.592483086047e+24
3420000.0,5.592484431126309e+24
3430000.0,5.59248356125766e+24
3440000.0,5.592483810206725e+24
3450000.0,5.592485028057952e+24
3460000.0,5.592484302923744e+24
3470000.0,5.59248628097402e+24
3480000.0,5.592483786003776e+24
3490000.0,5.592483558789073e+24
3500000.0,5.592484550101858e+24
3510000.0,5.592484453716673e+24
3520000.0,5.592485298829642e+24
3530000.0,5.592485347031124e+24
3540000.0,5.592485316446169e+24
3550000.0,5.592482877870231e+24
3560000.0,5.592488873446925e+24
3570000.0,5.592488016912357e+24
3580000.0,5.592488237441207e+24
3590000.0,5.592488064377871e+24
3600000.0,5.592487723994493e+24
3610000.0,5.592486113382143e+24
3620000.0,5.592486586664546e+24
3630000.0,5.592486257305922e+24
3640000.0,5.592486201587384e+24
3650000.0,5.59248479712963e+24
3660000.0,5.592485546413325e+24
3670000.0,5.592486621736439e+24
3680000.0,5.592478806806043e+24
3690000.0,5.592479615712741e+24
3700000.0,5.592480094640704e+24
3710000.0,5.59247747219187e+24
3720000.0,5.592478591253709e+24
3730000.0,5.592478731709245e+24
3740000.0,5.592476531625422e+24
3750000.0,5.592477308622309e+24
3760000.0,5.59247777008447e+24
3770000.0,5.592477994307867e+24
3780000.0,5.592479475356115e+24
3790000.0,5.592477499212709e+24
3800000.0,5.592476529983511e+24
3810000.0,5.592477746733536e+24
3820000.0,5.592474211920967e+24
3830000.0,5.59247235090544e+24
3840000.0,5.592473985980257e+24
3850000.0,5.592473847117922e+24
3860000.0,5.592469027524005e+24
3870000.0,5.592469626155471e+24
3880000.0,5.592470997509197e+24
3890000.0,5.592466971896442e+24
3900000.0,5.592467536542121e+24
3910000.0,5.59246908758976e+24
3920000.0,5.592469319957551e+24
3930000.0,5.592469703983566e+24
3940000.0,5.59247142945284e+24
3950000.0,5.592471936629654e+24
3960000.0,5.59247102277763e+24
3970000.0,5.592471905169368e+24
3980000.0,5.592474373750888e+24
3990000.0,5.592474879460059e+24
4000000.0,5.592471629148355e+24
4010000.0,5.592472055624592e+24
4020000.0,5.59247311900142e+24
4030000.0,5.592473180255484e+24
4040000.0,5.592473439857394e+24
4050000.0,5.592474447000343e+24
4060000.0,5.592475270633433e+24
4070000.0,5.592477166807727e+24
4080000.0,5.592477689370168e+24
4090000.0,5.592477610473395e+24
4100000.0,5.592478236059995e+24
4110000.0,5.592478626268272e+24
4120000.0,5.592478961251859e+24
4130000.0,5.592479822589385e+24
4140000.0,5.592481193985625e+24
4150000.0,5.59248047578364e+24
4160000.0,5.592481113593984e+24
4170000.0,5.592485438777373e+24
4180000.0,5.592484614235282e+24
4190000.0,5.59248241333952e+24
4200000.0,5.592482014102939e+24
4210000.0,5.592482575587119e+24
4220000.0,5.592481634644776e+24
4230000.0,5.592482363919373e+24
4240000.0,5.592483544121235e+24
4250000.0,5.592483664584807e+24
4260000.0,5.592483692793753e+24
4270000.0,5.59248323211631e+24
4280000.0,5.592483066307474e+24
4290000.0,5.592483398020997e+24
4300000.0,5.592483198063269e+24
4310000.0,5.59248478651567e+24
4320000.0,5.592484716242019e+24
4330000.0,5.592485093262848e+24
4340000.0,5.59248546956475e+24
4350000.0,5.592483764952614e+24
4360000.0,5.592483999450366e+24
4370000.0,5.592482037415669e+24
4380000.0,5.592484999997016e+24
4390000.0,5.592483819890716e+24
4400000.0,5.592484100733085e+24
4410000.0,5.592483056296213e+24
4420000.0,5.592483234886646e+24
4430000.0,5.592483517413099e+24
4440000.0,5.592484124387833e+24
4450000.0,5.592485268896852e+24
4460000.0,5.59248458336265e+24
4470000.0,5.592483806140684e+24
4480000.0,5.592484190776191e+24
4490000.0,5.592484348694491e+24
4500000.0,5.5924826807522e+24
4510000.0,5.5924840569541e+24
4520000.0,5.592483210031326e+24
4530000.0,5.592482926462902e+24
4540000.0,5.592486367448502e+24
4550000.0,5.592486773520157e+24
4560000.0,5.592486117950649e+24
4570000.0,5.592486134608351e+24
4580000.0,5.592487017360296e+24
4590000.0,5.592484803381267e+24
4600000.0,5.592484701431022e+24
4610000.0,5.592484591110415e+24
4620000.0,5.592484878527482e+24
4630000.0,5.592485723204644e+24
4640000.0,5.592487081386641e+24
4650000.0,5.592485417816458e+24
4660000.0,5.592485785464565e+24
4670000.0,5.59248513158158e+24
4680000.0,5.592485001841112e+24
4690000.0,5.592484531198658e+24
4700000.0,5.592483413100621e+24
4710000.0,5.592483365969273e+24
4720000.0,5.592479559402055e+24
4730000.0,5.592481934936458e+24
4740000.0,5.592481939532848e+24
4750000.0,5.592474911557966e+24
4760000.0,5.592475032103474e+24
4770000.0,5.592477250071683e+24
4780000.0,5.592477520713872e+24
4790000.0,5.592477152244798e+24
4800000.0,5.592476876158789e+24
4810000.0,5.592477385258336e+24
4820000.0,5.592478404930268e+24
4830000.0,5.592478827778825e+24
4840000.0,5.592477776786012e+24
4850000.0,5.59247866890294e+24
4860000.0,5.592479543576216e+24
4870000.0,5.592480235121945e+24
4880000.0,5.592480561611689e+24
4890000.0,5.592480604113207e+24
4900000.0,5.592481204511125e+24
4910000.0,5.592480776764446e+24
4920000.0,5.592481169354994e+24
4930000.0,5.592481097622129e+24
4940000.0,5.59248144050857e+24
4950000.0,5.592481557378169e+24
4960000.0,5.592481825848987e+24
4970000.0,5.59247870258656e+24
4980000.0,5.592479057161665e+24
4990000.0,5.592486158133138e+24
5000000.0,5.592485234489154e+24
5010000.0,5.592484628967174e+24
5020000.0,5.592484224468141e+24
5030000.0,5.592483637225282e+24
5040000.0,5.592483639108588e+24
5050000.0,5.592482670476607e+24
5060000.0,5.59248286745835e+24
5070000.0,5.59248425680689e+24
5080000.0,5.592484290887414e+24
5090000.0,5.592485527835999e+24
5100000.0,5.592484934578513e+24
5110000.0,5.59248473453674e+24
5120000.0,5.592484534146383e+24
5130000.0,5.592484301138815e+24
5140000.0,5.592484210970712e+24
