number,value,params_Dg_dislocation_scale,params_Dv_dislocation_scale,params_K_d,params_f_n,params_first_gas_pressure_factor,params_rho_T_amp_scale,params_rho_T_shift,params_rho_T_tau_scale,params_rho_blank_def_scale,params_rho_blank_scale,params_rho_const_scale,params_rho_mode,user_attrs_error,user_attrs_failed,user_attrs_first_gas_pressure_factor,user_attrs_max_Rd_nm,user_attrs_max_f_cap_step,user_attrs_max_psi_d,user_attrs_min_Nd,user_attrs_rho_cfg,user_attrs_score_Nd_drop,user_attrs_score_guards,user_attrs_score_partition,user_attrs_score_pressure,user_attrs_score_radius_T,user_attrs_score_swelling_T,user_attrs_score_swelling_burnup,state
20,23268.857369384747,16.72736973513842,14.572333629190053,913484.9682560213,7.621480723589186e-08,0.5448227862490129,,,,,0.2413876289779906,,blank_sat,,,0.5448227862490129,176478.34707563635,0.34114817242092116,0.9342337534582518,35416347537.31582,"{""rho_mode"": ""blank_sat"", ""rho_blank_scale"": 0.2413876289779906, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.5448227862490129}",4.3739489520010935,11630.148464975586,5.271360748136508,0.6280759067880022,0.04358659868303094,1.256338020193309,1.6209612312479875,COMPLETE
21,12.748735284082507,8.225721626888161,18.579959228493607,1992376.2904856775,2.965064658140026e-07,0.6721399150060243,,,,,,19.928822927511455,constant,,,0.6721399150060243,43.343911109592426,0.002116215206296845,0.5550192266876007,5.012463042839599e+20,"{""rho_mode"": ""constant"", ""rho_const_scale"": 19.928822927511455, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.6721399150060243}",0.17979419506596128,0.0,8.673237308766693,8.090678444385461e-05,3.2089962602589694,0.7400394823675954,0.3014082896387093,COMPLETE
22,1009.6919609324978,20.176791510878253,2.254172180202096,1152986.0541300063,1.4383501352037503e-06,0.8751339217106776,,,,,,5.0963554870280285,constant,,,0.8751339217106776,37973.792896667626,0.3230292476422929,0.9245904522688915,3445939683609.3506,"{""rho_mode"": ""constant"", ""rho_const_scale"": 5.0963554870280285, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.8751339217106776}",0.46357882082595403,499.3744204147449,8.464107892294233,0.2660692723766857,0.9403587068544267,0.9008032170415259,0.9302175009195164,COMPLETE
23,11.041018952660416,10.546351797841126,23.44594435793739,2392739.641023831,5.245835358830269e-07,0.5408432456875745,,,,,3.196098294961532,,blank_sat,,,0.5408432456875745,42.48518773942893,0.002010606862860851,0.5518840386068006,1.7235799407845455e+20,"{""rho_mode"": ""blank_sat"", ""rho_blank_scale"": 3.196098294961532, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.5408432456875745}",0.17791332235137855,0.0,8.56564036626218,0.00028538415352159574,1.34293846482469,0.9699310907057821,0.4221366074798864,COMPLETE
24,1000000000.0,9.469934010434296,20.55557817830778,2162921.4998939415,4.847626439194753e-07,0.3103706967704276,0.5200866257598092,243.81890408529887,1.2868647558357404,0.7415325666509888,,,blank_sat_deformed,"FloatingPointError('Non-finite swelling_d_percent at T=2200.0, bu=3.2: nan')",True,,,,,,,,,,,,,,COMPLETE
25,807859.3626265484,7.864641327843261,6.966792882307238,1439147.9054358026,3.923154648372472e-07,0.4633724522012653,,,,,3.012259913064361,,blank_sat,,,0.4633724522012653,1043893.3542055975,0.43279286370292464,0.9911831258672191,204364140.1008294,"{""rho_mode"": ""blank_sat"", ""rho_blank_scale"": 3.012259913064361, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.4633724522012653}",0.11713485696879333,403924.17197167606,8.472108208602217,0.4300115922800907,0.8438392561032976,1.0355306964253654,0.7125549050600621,COMPLETE
26,11.193479090748214,21.493726247757575,19.064184317860924,2685274.0745017184,7.100870391172063e-08,0.8077177100488285,,,,,2.987158573017247,,blank_sat,,,0.8077177100488285,41.32181279743071,0.0018618079775037017,0.5479761607189066,1.8078357233342428e+20,"{""rho_mode"": ""blank_sat"", ""rho_blank_scale"": 2.987158573017247, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.8077177100488285}",0.17949652544798889,0.0,8.697163187259342,0.00036317376420085716,1.3788854894846159,0.9562005949510999,0.4165578006645283,COMPLETE
27,55567820.082289346,4.927752946496212,18.81735544601913,566378.1291693407,5.0169444207667134e-08,0.2019026907090115,,,,,1.117205821503374,,blank_sat,,,0.2019026907090115,8647201.592500405,0.3835102773671909,0.9653805341482133,332185.1789713538,"{""rho_mode"": ""blank_sat"", ""rho_blank_scale"": 1.117205821503374, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.2019026907090115}",4.9107883855355166,27783904.23294903,7.365804791289217,0.9413956501087704,0.018334240094739978,1.7090347880422008,1.9988804531310431,COMPLETE
28,10.748177534091377,17.37379336005622,1.011050838110128,1594222.0726198081,2.329389252079264e-06,0.7396431806106072,,,,,3.7200058729077274,,blank_sat,,,0.7396431806106072,55.56504363030199,0.0046717178413559655,0.5979612397850887,1.353937335513981e+20,"{""rho_mode"": ""blank_sat"", ""rho_blank_scale"": 3.7200058729077274, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.7396431806106072}",0.12207206520294557,0.0,8.71176687147568,0.011333069481481975,1.1636000955305161,0.6825778565344655,0.5149507600954798,COMPLETE
29,10.586355129775075,16.665921809593865,2.798681066304235,2365903.5547200604,1.4283790405056852e-06,0.4478897978781019,,,,,2.0827501474231376,,blank_sat,,,0.4478897978781019,84.13443018447676,0.034803047462100625,0.6699212802371055,1.124246859020445e+20,"{""rho_mode"": ""blank_sat"", ""rho_blank_scale"": 2.0827501474231376, ""rho_max"": 1000000000000000.0, ""rho_fab_base"": 30000000000000.0, ""first_gas_pressure_factor"": 0.4478897978781019}",0.11725810774739724,0.0,8.53668631686313,0.00621793804325516,0.9749653774051359,0.8586962783626987,0.6211253251712515,COMPLETE
