Time (h)	Location	Phase	Phase instance	Moles (mol/m3)	Form units (mol/m3)	Sublattice	Sites	Constituent	Site fraction
1.765764	at grain boundary	HCP_A3	HCP_A3	0.262663021	0.262663021	1	1	BA	3.072403992e-07
1.765764	at grain boundary	HCP_A3	HCP_A3	0.262663021	0.262663021	1	1	CS	0.004528136359
1.765764	at grain boundary	HCP_A3	HCP_A3	0.262663021	0.262663021	1	1	MO	0.3036326966
1.765764	at grain boundary	HCP_A3	HCP_A3	0.262663021	0.262663021	1	1	PD	0.2620391501
1.765764	at grain boundary	HCP_A3	HCP_A3	0.262663021	0.262663021	1	1	RH	0.08180058904
1.765764	at grain boundary	HCP_A3	HCP_A3	0.262663021	0.262663021	1	1	RU	0.2745172356
1.765764	at grain boundary	HCP_A3	HCP_A3	0.262663021	0.262663021	1	1	TC	0.07348188505
1.765764	at grain boundary	HCP_A3	HCP_A3	0.262663021	0.262663021	2	0.5	O	1.100880705e-12
1.765764	at grain boundary	HCP_A3	HCP_A3	0.262663021	0.262663021	2	0.5	VA	1
1.765764	at grain boundary	gas	GAS	0.00843511339	0.00843511339	1	1	BA	8.839497191e-07
1.765764	at grain boundary	gas	GAS	0.00843511339	0.00843511339	1	1	BA2	1.579133285e-15
1.765764	at grain boundary	gas	GAS	0.00843511339	0.00843511339	1	1	BA2O	6.179137343e-09
1.765764	at grain boundary	gas	GAS	0.00843511339	0.00843511339	1	1	BA2O2	2.410628468e-10
1.765764	at grain boundary	gas	GAS	0.00843511339	0.00843511339	1	1	BAMOO4	3.255171546e-15
1.765764	at grain boundary	gas	GAS	0.00843511339	0.00843511339	1	1	BAO	3.521425557e-07
1.765764	at grain boundary	gas	GAS	0.00843511339	0.00843511339	1	1	CS	0.9933596723
1.765764	at grain boundary	gas	GAS	0.00843511339	0.00843511339	1	1	CS2	0.006634760134
1.765764	at grain boundary	gas	GAS	0.00843511339	0.00843511339	1	1	CS2MOO4	3.178170186e-08
1.765764	at grain boundary	gas	GAS	0.00843511339	0.00843511339	1	1	CS2O	3.626556416e-06
1.765764	at grain boundary	gas	GAS	0.00843511339	0.00843511339	1	1	CS2O2	1.965546641e-15
1.765764	at grain boundary	gas	GAS	0.00843511339	0.00843511339	1	1	CSO	3.019290382e-09
1.765764	at grain boundary	gas	GAS	0.00843511339	0.00843511339	1	1	MO	1.017200522e-15
1.765764	at grain boundary	gas	GAS	0.00843511339	0.00843511339	1	1	MO2	1.989480427e-23
1.765764	at grain boundary	gas	GAS	0.00843511339	0.00843511339	1	1	MO2O6	1.978840091e-29
