number,value,params_Dg_dislocation_scale,params_Dv_dislocation_scale,params_K_d,params_f_n,user_attrs_Dg_dislocation_scale,user_attrs_Dv_dislocation_scale,user_attrs_K_d,user_attrs_f_n,user_attrs_score_Rd,user_attrs_score_gas_partition,user_attrs_score_guard,user_attrs_score_pressure_eq,user_attrs_score_swelling_d,user_attrs_score_total,state
41,2.525777168960915,2.6231560799035036,17.211716405863662,1457293.894315165,8.403760246945546e-07,2.6231560799035036,17.211716405863662,1457293.894315165,8.403760246945546e-07,1.1999744845736926,0.7975681600710585,0.0,5.933908796496889e-07,0.4077911338589052,2.525777168960915,COMPLETE
42,4.689530230920083,6.808093590731619,19.288640359688074,1659154.7069810966,6.790218697162483e-07,6.808093590731619,19.288640359688074,1659154.7069810966,6.790218697162483e-07,0.5122591463545608,0.3216497850369108,3.5594139911189124,2.0561454530854935,0.13757195781326484,4.689530230920083,COMPLETE
43,2.1438336245725265,3.745967767991981,8.380984197196424,1670206.5214640538,1.84502460945035e-06,3.745967767991981,8.380984197196424,1670206.5214640538,1.84502460945035e-06,1.2045427589373239,0.5495552376963083,0.0,3.915622701901341e-06,0.3526500293509337,2.1438336245725265,COMPLETE
44,6.517274902765749,1.011673882056954,7.308512138778762,2495010.077091972,1.0750735751254742e-06,1.011673882056954,7.308512138778762,2495010.077091972,1.0750735751254742e-06,3.1340355976627094,2.222536384620212,0.0,9.335433759109298e-07,0.8383014300770771,6.517274902765749,COMPLETE
45,3.548023728174048,5.574856583642169,19.269381507573538,1159769.483253784,1.849851975567135e-06,5.574856583642169,19.269381507573538,1159769.483253784,1.849851975567135e-06,0.5428100215865045,0.22920795618049242,2.2260596348741086,1.8191695702570252,0.07708861580316897,3.548023728174048,COMPLETE
46,8.054408266016349,1.5068279271967457,2.1571421392390233,4589862.282620518,8.560729877627061e-06,1.5068279271967457,2.1571421392390233,4589862.282620518,8.560729877627061e-06,4.561212446515904,2.4194636446911026,0.0,6.996453734121687e-08,0.8974564312226029,8.054408266016349,COMPLETE
47,1.7627241713419977,5.294301873464879,16.92796974844459,1287701.9289050968,6.845097734063772e-06,5.294301873464879,16.92796974844459,1287701.9289050968,6.845097734063772e-06,0.9333212206434376,0.48977638222556424,0.0,3.770139922697535e-06,0.2892947906929566,1.7627241713419977,COMPLETE
48,6.937987594891412,13.449890801791685,3.8984007328557975,3294423.998381468,1.7906591959296488e-07,13.449890801791685,3.8984007328557975,3294423.998381468,1.7906591959296488e-07,0.6168953594058897,2.11741313888245,2.3737905393573375,1.4909664431846996,0.9726002633446036,6.937987594891412,COMPLETE
49,1.7562317515624035,5.30653728245747,18.093089369387297,1582549.1871454953,4.768573881115337e-06,5.30653728245747,18.093089369387297,1582549.1871454953,4.768573881115337e-06,1.050566718588346,0.4195819351259364,0.0,2.5321781694407637e-06,0.27634054431736094,1.7562317515624035,COMPLETE
50,3.6779368481307513,5.499994461681624,17.247605670425703,975690.6591167162,5.2744310901074705e-06,5.499994461681624,17.247605670425703,975690.6591167162,5.2744310901074705e-06,0.6093627508521939,0.37273085118831223,2.221721607507908,1.5309617774364501,0.1688470485039114,3.6779368481307513,COMPLETE
