label,score_total,score_swd,score_Nd,score_Nd_drop,score_Rd,score_pressure,score_fdot_prior,score_rizk_gas_shape,score_highT_guard,f_n,K_d,rho_d,fission_rate,Dv_scale,Dg_scale,b_scale,gb_scale,gd_scale,coalescence_d_scale,capture_scale,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,Nd_1p3_1400K,Nd_1p3_1725K,Nd_drop_1725_over_1400_log10,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,dt_h,n_modes,use_full_exp,score_swig_diag
LHS_0013,2.1017302319556217,1.760193277865965,0.3107430692097669,0.0,0.09389022833692454,0.5608172730556322,0.0716855324781249,0.03053571259114689,1.1507765945665491,6.037784843471211e-08,777915.3515082706,18989832532624.785,4.239205518467884e+19,0.4595995270045325,0.4983921510668462,0.4910098774028692,0.2187065052248725,0.9591089626645815,4.6605333206935455,1.259471848012706,4.4257920825020785,0.40092080718404055,119.46549793811657,6.196905956970865e+18,1.2103849772283716e+19,1.7025773936653002e+18,-0.8518166621174921,8.219878938022179,2.279880893080762,0.00045059766446679713,0.2397963659002743,0.2397963659002743,12.0,22,0,2.622076426342122
LHS_0029,2.1070618090423547,1.254122098666675,0.678542398226671,0.27372830524354186,0.19929758639975734,0.41724549876010686,0.024251717928574133,0.0,0.0,3.561555724238396e-07,420769.76338795276,69871141678953.4,5.287151101249342e+19,0.2572765301531236,1.2408919941149055,2.9427660012288888,0.5040142235620099,0.39379035682346225,2.318515145634617,0.7423117239294831,3.6827801110639906,0.635965066480498,75.31141639508252,2.0582813226691957e+19,2.6901324024099574e+19,1.1857528793804114e+19,-0.3557794676206387,7.1970962318283,3.238092008825118,0.0002736947873465665,0.11577571432218457,0.11577571432218457,12.0,22,0,2.421290110891876
ANCHOR_high_b_coal,2.2162957608320593,1.7667175046650299,0.4244061172915906,0.05012449787584746,0.09519539316925026,0.6676897614135504,0.0,0.07943241197448149,1.0021815087433201,1e-07,300000.0,30000000000000.0,5e+19,0.5,1.0,2.5,1.0,1.5,4.0,1.0,4.462417465761763,0.3946836483372549,135.94815401899268,4.239958861460342e+18,7.46779439863794e+18,1.4454748162397207e+18,-0.713181822975154,8.242550770427773,2.873321833694489,0.0004415172148571691,0.20333943870691223,0.20333943870691223,12.0,22,0,2.836298856397211
LHS_0037,2.2184375773328444,1.2246098938260388,0.6307693317241556,0.49726849211682855,0.10528329447487486,0.2218986521181203,0.04757021884411275,0.0,0.12099087024447286,3.285299637874147e-07,246805.7231528903,41655450139890.414,5.578792690173534e+19,2.0789660777515877,0.7157361371283334,0.24062859209717816,0.6174076899902023,0.45632142969665007,0.3752380676500596,0.7008343410330763,3.448521152462214,1.3301083946917072,94.54221394346051,9.742422963018504e+18,1.0144297065167299e+19,8.72080673051346e+18,-0.06566529677132542,7.051122650985716,5.015598598107431,0.0002575901256386346,0.07957479892420188,0.07957479892420188,12.0,22,0,3.056285027480016
LHS_0051,2.2337143666142887,1.450810233026751,0.5540170261695382,0.3807676956940605,0.034598388920150526,0.4154617841323677,0.02255611798509701,0.0,0.07908636277353906,2.7467659161113067e-08,191066.54786555827,34911510622328.473,4.746941573507998e+19,0.7793964366020847,0.5971219811499949,1.264521855080397,0.7178044135695,0.4111958585338107,1.0829695927836462,0.9177425763249895,3.8026078157836345,1.4205610416676921,117.33701004820414,5.619373186846645e+18,6.439629887830091e+18,3.9325680969786307e+18,-0.2141846557033637,7.3185642068941545,6.260553122105404,0.00034265490778714706,0.13513252371928344,0.13513252371928344,12.0,22,0,3.5241794731185228
LHS_0057,2.267813138501918,1.5126154979968092,0.5375644819583738,0.3538558320208474,0.030999715808362104,0.5464129008477564,0.05936275045207107,0.0,0.05229977719626741,7.596938333044662e-08,511437.55632494105,14265647991483.096,4.361212557282061e+19,0.386554218438266,0.40199338204704915,0.313830987956315,0.3730340490099089,1.686960609442768,1.3488792684469575,1.4217316001605445,3.97728646043039,0.5659422777743847,117.6734836274204,5.827233633066084e+18,6.957809615140313e+18,3.9216243562260547e+18,-0.24900654986883974,7.681548643677548,2.9043209421604335,0.0004004709018592781,0.18178827129898115,0.18178827129898115,12.0,22,0,2.538763194516807
LHS_0036,2.35604897465255,1.6473175764555175,0.5702088334356208,0.19940959739400463,0.1370253954509878,0.6532230451664633,0.0689686955354187,0.18069989401881204,0.12939912597320566,2.9731088130983837e-08,749739.2445398716,36612157714945.125,5.860554376761465e+19,0.22137386932493455,0.5702148658870462,0.46482475731011025,1.9842795698259366,2.0215506623164394,3.1414738827678623,0.6000390225969009,4.194786985232,0.1503672049732129,85.96936392596764,1.5761232015234968e+19,2.3227937634686312e+19,7.976002406273239e+18,-0.4642253749883877,8.427658558392706,1.6447072170671455,0.00039723563910053965,0.15878607427582125,0.15878607427582125,12.0,22,0,2.329666148556881
LHS_0043,2.36803890299611,1.8338503047723798,0.4459019351436423,0.0,0.16784804781595236,0.3755907991141856,0.07836867626286484,0.0,2.8195904662912463,1.382864561175596e-07,820145.790157467,10102736753753.172,4.174469843778212e+19,1.880849146512083,1.034000991530204,2.822711636289768,1.6624210929419339,2.2026857878021766,4.385167067963854,0.5880641522471923,4.21899671938358,1.9810743721800492,138.02988198139894,3.830021645626907e+18,7.096918366147025e+18,6.740123091400628e+17,-1.0224019817860728,8.13332380140734,8.084377024990404,0.0002411576287022694,0.13438195898170624,0.13438195898170624,12.0,22,0,4.577904363555622
LHS_0002,2.4277794109737836,1.3630434986305644,0.6737503197229511,0.5298644706326051,0.12476280136402731,0.18764487421535567,0.04867558552449386,0.0,0.10694526161737841,5.594450826203225e-08,309275.779771414,11953458878323.064,4.46986512509149e+19,1.5362644415720663,2.5303232916300518,4.0754783281712506,0.9994093354597346,0.2609470508785388,0.4094416789542838,1.5138697507170213,1.0379547783676342,3.3576373047732035,87.99462620548631,3.6368163507813617e+18,3.679950262863944e+18,3.4779884336040325e+18,-0.024513815535783186,3.089493077400116,11.193003076587534,0.0003342859284454439,0.10222264534347321,0.10222264534347321,12.0,22,0,3.571218272471844
LHS_0049,2.48608934106557,1.3213151650631925,0.6796785996010682,0.5224092339004346,0.2868205746427785,0.0800019287366877,0.0895432477822036,0.0,0.09239094419823685,9.252129059914424e-07,983600.7377404922,12914833033307.4,4.068429142636261e+19,2.0457810973716817,1.5794702588001577,0.990347492487482,0.5368174820989116,0.582330299621296,0.566827623412973,1.3964484578412608,1.0775018723193637,1.8049815160831144,59.20051375801288,1.2398038972327526e+19,1.2600254478256665e+19,1.165611811709202e+19,-0.033825376638097523,2.9499094048363346,5.826202011403922,0.00020918123748588218,0.07300074812488272,0.07300074812488272,12.0,22,0,1.9378987969654642
LHS_0026,2.5473662254385263,1.653592448285627,0.6383093997944409,0.39396181361951876,0.09032798426325717,0.6796023048580065,0.005789420042844891,0.06900326139758282,0.08395945101953733,3.973952922155988e-08,349043.45105477015,11234407557725.05,4.9337891354074055e+19,0.5175860425721744,0.5076363535675578,3.1544656819768457,0.574604460891838,2.9397762277119495,1.0432330984487193,0.412781112113881,4.214802348616233,0.3801718233280925,145.63202192528956,3.257751597690171e+18,3.75748609247283e+18,2.385063915518233e+18,-0.19739735995385566,8.083290203209533,2.679388217219843,0.00013221213057761183,0.0555915315792027,0.0555915315792027,12.0,22,0,2.6264560272373414
ANCHOR_high_gd_coal,2.558016253148856,2.0746476515326333,0.43766708748552013,0.05533753799120995,0.10495756225295637,0.7822693351812883,0.0,0.20637507712642747,1.0148708295524518,1e-07,300000.0,30000000000000.0,5e+19,0.5,1.0,1.0,0.8,2.5,4.0,1.0,4.764979786929714,0.054278840655011824,141.56260111223375,4.009838226394697e+18,7.131056440781355e+18,1.409293020752675e+18,-0.7041525726334514,9.111429355200059,0.6482635651570565,0.00043724276149344194,0.21254996881594626,0.21254996881594626,12.0,22,0,2.419985674880866
LHS_0052,2.5619333239542588,2.156398902855316,0.3406034581177859,0.0,0.13274380287265355,0.43336491141242345,0.04027325005569273,0.0,2.035665793562335,5.453470183637555e-07,228958.72555715594,51104131607629.14,5.4858414851065545e+19,1.6368080456008514,0.9679516695358273,1.4599334991963666,4.245074833398533,1.3945936657339746,4.063898708565929,0.6240851227680193,4.792524614377212,1.5473213345263102,130.43342137463765,5.155954590835525e+18,9.739233123349092e+18,1.0870264975059967e+18,-0.9522846308198825,8.970239356980764,7.065508519054833,0.00040781385123254065,0.16617675884962635,0.16617675884962635,12.0,22,0,4.57252713149589
LHS_0045,2.5691661970055324,1.5036429932763442,0.6879105426978619,0.5274310739578619,0.12746702978843613,0.2357954153798445,0.011763695203460297,0.02882857926369568,0.053724663532462455,9.033837366100393e-08,168117.42115252055,20217837429767.19,4.8663832556989006e+19,0.623084063097042,0.8299384775474797,0.8645009602236632,1.316672196919327,0.28933501560950303,0.5258069090141131,0.5073535307092254,0.9719606966040527,2.885959131220113,88.6542086152926,3.33013639967216e+18,3.3811128565529887e+18,3.1727944941387387e+18,-0.027617723900546884,1.9516556405589829,9.677783515578733,0.00011361436382439376,0.022009660225926146,0.022009660225926146,12.0,22,0,2.7508828657387236
LHS_0050,2.59230394940665,1.8902694410206113,0.5141387525113196,0.31864724604737105,0.032224737978518374,0.5828985773026054,0.012380644056743694,0.06787934014716039,0.09624412185403979,7.570600467350557e-07,337947.2221032998,28817258615171.86,4.8594750903931355e+19,0.43409386194928434,1.610791478291843,1.6754495459541088,0.44925094698206247,1.6274995599217623,1.563845144533277,1.1860078498923652,4.5444234742479,0.28232205722616815,114.58969313928559,7.210303006567845e+18,9.064226656552242e+18,4.584731554797709e+18,-0.29601684485133006,8.852219401580353,1.8225279137821442,0.00039165621402703665,0.17856120977193699,0.17856120977193699,12.0,22,0,2.619681575181305
LHS_0038,2.6124355115142444,1.539178669048059,0.6889929296473467,0.5211533389197324,0.13356926443791242,0.3044209966055607,0.05993564285905422,0.0,0.0,4.834940076951489e-07,151000.64563868818,22186810150106.207,5.739917458755756e+19,0.3141924130611119,0.456716954498315,4.424968805390197,2.995393536920946,0.7246048186481797,0.6614204898192878,1.7435097530683685,0.9094139711474004,2.581790640703277,87.21952036314508,3.27214040300011e+18,3.331678548883876e+18,3.069773723409286e+18,-0.03555672831486614,1.9786930917299277,8.360400094820005,0.00045664316746018977,0.06429403762829075,0.06429403762829075,12.0,22,0,2.301486045161928
LHS_0054,2.645375578446337,2.120629057492311,0.45560348932626765,0.0,0.17251472069067525,0.7594104572254023,0.04450354706210107,0.1490832139497306,1.9815140719820221,1.5843565214479714e-08,158855.8938174487,69124981025483.64,5.5395380703781536e+19,0.7579534537033976,0.37406893522688817,1.1380539636038134,3.064217787377872,1.016557594462127,6.229335646696346,1.3261249510787843,4.937144116271681,0.3128330770773647,157.99955124939942,2.9882686237458417e+18,7.69256711727035e+18,6.016427880035283e+17,-1.1067325790288196,8.978289112626333,2.8420797322464497,0.0010256750722917702,0.41685708943297084,0.41685708943297084,12.0,22,0,3.1945115072386914
LHS_0033,2.7025742319972483,1.726151535866353,0.6120023533013318,0.5036555345031359,0.04066111317427612,0.7414250253929628,0.05716937137918025,0.15661750244949588,0.037611756869590236,3.138693629578605e-08,467992.3632789527,13576330992165.117,5.70347281297362e+19,0.3432479424340183,1.3288256361843735,0.22015907836111318,2.7786426436573626,5.030840161850542,0.33789337973282485,2.1958479404108386,4.184848303821238,0.24006990792569682,118.61304172378722,5.986786645190949e+18,6.252094427171663e+18,5.475031211532598e+18,-0.05763892936702639,8.777083147719093,1.9985999430779149,0.0010561107971329123,0.4492292563711362,0.4492292563711362,12.0,22,0,2.5388245546806116
LHS_0022,2.761184420105021,1.8930172809316355,0.5952699581411932,0.4401939459502253,0.036414312028422095,0.40304798599364766,0.019536225909890414,0.0,0.05559092892624271,2.363216888496196e-07,218769.9965161626,24676553089101.18,5.230054689929148e+19,1.4256032213736884,0.7468736490724651,0.3496474877437385,4.615007658038091,2.354321907421428,0.5954501371250325,1.2106800495917447,4.3204064877343,2.0066765618566693,128.5861151726123,4.851251312610282e+18,5.283310145884959e+18,3.8449403517502715e+18,-0.13801649901348215,8.662958365433285,8.285357089657051,0.0006137207770594084,0.22935874238806817,0.22935874238806817,12.0,22,0,4.708549829822023
LHS_0017,2.9615501247991016,2.1637392454212936,0.5747883559840351,0.32656427882226335,0.08527273944489012,0.6513511701770809,0.03894244751630133,0.2149297314324928,0.0,6.723547227472968e-08,476889.3652100598,35335357120019.0,5.46905702668257e+19,0.3512620607694129,0.3138930166884949,0.5273996863068321,0.648540499199844,2.426388777815558,1.6663745678882491,0.30621419327264354,4.740390971406528,0.041420698130740945,97.93068877669727,1.204950277000554e+19,1.5280039433918915e+19,7.894401532860336e+18,-0.28680526290853225,9.84655604888189,0.479642837816317,0.00012433191146287592,0.05581562305541631,0.05581562305541631,12.0,22,0,2.437447341292465
LHS_0008,2.974987172109453,2.5752879800948008,0.3675754757159147,0.045965336106546656,0.06709164856018238,0.6060371880686893,0.03695034220764004,0.16013434343836946,0.858133972190286,1.5641742000336945e-07,306650.0357506518,72474478939209.1,5.444027953886066e+19,0.6701394166986177,2.875608631211863,0.6902252605176936,3.572717120049069,1.180403783604837,3.5887087137081037,0.360844298905643,5.424129793294928,0.2602429162751392,110.22648660733611,9.6690447329149e+18,1.7655619544157071e+19,3.36122247868938e+18,-0.720385702476481,10.46560625590702,2.7496238219471154,0.00033174436650772844,0.13926292259227413,0.13926292259227413,12.0,22,0,3.603196782353883
LHS_0023,3.0177704981319935,2.67272806761804,0.17234070832545265,0.0,0.1394670475707327,0.7863553707475479,0.08424983954981902,0.2569649577688663,2.1032605982144665,1.3294197589183042e-07,619107.717056241,61206479567294.27,4.11832071900919e+19,0.5047686305098901,2.6184793208771793,0.29630091763144517,1.3267522639727714,2.869647629564084,7.7451219520548396,0.871956836225804,5.502458183693148,0.0017318893396707402,128.9780986968886,6.122379268423046e+18,2.109377838221042e+19,8.937630209408365e+17,-1.3729319969163365,10.037012662449596,0.024755622102222288,0.0005414997112899847,0.29548779223675264,0.29548779223675264,12.0,22,0,2.695407197557702
