label,f_n,K_d,rho_d,fission_rate,Dv_scale,capture_scale,Dg_scale,b_scale,gb_scale,gd_scale,nu_scale,coalescence_d_scale,dt_h,n_modes,use_full_exp,score_total,score_swd,score_swig_diag,score_Nd,score_Rd,score_pressure,highT_penalty,swD_1p3_1600K,swB_1p3_1600K,Rd_1p3_1600K,Nd_1p3_1600K,swD_3p2_1600K,swB_3p2_1600K,max_f_cap_step_3p2_1600K,capture_fraction_sum_3p2_1600K,capture_raw_sum_3p2_1600K,swD_3p2_1800K,Rd_1p3_1800K,swD_3p2_2000K,Rd_1p3_2000K
PHYS_0026,3e-07,300000.0,30000000000000.0,5e+19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,15,0,2.793951034280356,1.7728587767461113,3.4922901723885156,0.5261349222690723,0.052558866682812774,0.05510953786258423,0.38728893071977555,4.258694821901254,1.128787047076533,110.532493248387,7.528665663030298e+18,8.282295673933305,4.95639810118221,0.0008030502521130696,0.15283056042441542,0.15283056042441542,36.43359853418029,223.30538350385953,59.364446535988776,610.6355739977018
PHYS_0058,3e-07,800000.0,10000000000000.0,3.5e+19,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,15,0,2.8939496496796133,1.0290853795983557,2.6980750091586296,0.5672819781163245,0.16498902102030552,0.01449912877404158,1.1180941421705863,1.6201911535990452,2.197376539400557,80.23570829984283,7.488150679004941e+18,3.2858543561001192,7.725896503756702,0.0,0.0,0.0,30.23698076804273,176.76813927074008,63.026591350735096,1128.7811575779422
PHYS_0067,1e-06,1200000.0,10000000000000.0,3.5e+19,1.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,24.0,15,0,2.9074197447788577,1.5516593758751227,1.8725601941244479,0.5954933894130601,0.31085080003453847,0.0126010690198978,0.43681511043623844,0.8630334298519813,1.9991069828611183,56.22719631307432,1.159043467279504e+19,1.8317261699177028,6.629441338743228,8.935598814033747e-05,0.011919931350668128,0.011919931350668128,19.644967898324282,116.98384594466356,61.84075552181192,365.6110765220455
PHYS_0005,1e-06,1200000.0,10000000000000.0,5e+19,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,15,0,2.9770244205859173,1.5542860369313078,1.85339943300532,0.5969359453277172,0.3110248891570696,0.00836068209004419,0.5064168670797787,0.8060421914560122,1.8976623570910918,54.91324242378209,1.1620850174764855e+19,1.9584898546029115,6.201932903436864,0.0004282625022896012,0.038406020352619204,0.038406020352619204,37.314814251861634,116.23248518308685,65.32084335398893,502.33012358247356
PHYS_0013,1e-06,1200000.0,10000000000000.0,7.5e+19,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,15,0,3.0318974838318304,1.700707247288033,1.6332223926670901,0.6009448660976219,0.3308836225859516,0.007470271481967052,0.39189147637825644,0.6848134787707458,1.7792539117039843,51.931595167155876,1.1673167080847944e+19,1.2453861615368096,5.833829614700008,0.0,0.0,0.0,10.48175531374448,103.00940338492661,59.59457381891282,248.48010185539735
PHYS_0010,3e-08,800000.0,30000000000000.0,5e+19,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,15,0,3.058603762415179,1.8327297662422362,2.971259407391716,0.6596663086676864,0.17291373771065763,0.07422275957757246,0.3190711902170263,4.4204897181625515,0.40867373123908474,80.91539906187734,1.9919949561656136e+19,9.192608638011778,2.93805026809246,0.0010178487810717886,0.24353739161446833,0.24353739161446833,31.291469397648065,132.0807064769374,55.95355951085131,204.29980106595997
PHYS_0050,3e-07,300000.0,10000000000000.0,5e+19,3.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,15,0,3.1159257551409523,0.9888833517593882,2.6506811562821193,0.7411688494215529,0.03414783570786331,0.025685904182612268,1.3260398140695357,1.7841425334603473,2.143766715074624,115.15933794196398,2.78896753711154e+18,3.3384022895921834,7.42976317076338,0.0,0.0,0.0,25.636556624352707,259.49464439557516,59.1532209371736,1271.487697663032
PHYS_0017,1e-08,1200000.0,30000000000000.0,7.5e+19,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,15,0,3.197930827835121,1.8098782419106654,2.5755979689709037,0.7828202498898749,0.22947452423690115,0.07932800039561805,0.2964298114020616,4.2984628497920205,0.19316880490677563,69.9058255912059,3.003893014695609e+19,9.314985787984952,1.7846844831490203,0.001843810775125041,0.2831840660236613,0.2831840660236613,29.398240502083716,106.52177143632781,54.82149057010308,140.2051531762658
PHYS_0051,3e-08,300000.0,60000000000000.0,5e+19,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,15,0,3.2980070248516866,2.186814860732668,2.496402533030653,0.5929978328780632,0.11445370994176704,0.09560004345788585,0.3081405778413027,4.717070478535749,0.04126420759418578,91.42688669965135,1.4735401104383328e+19,10.0718017062753,0.5488147587221704,0.00090011461559946,0.21099992334441234,0.21099992334441234,31.03307137701129,150.89282224156352,55.407028892065135,266.73276770244973
PHYS_0056,3e-08,1200000.0,10000000000000.0,3.5e+19,3.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,24.0,15,0,3.332139050479568,1.6635605382030922,4.806310421939231,0.5289078158579049,0.10166955229143208,0.027709246368150513,1.0102918977589879,3.8814356753829764,2.1483261747137896,96.83519513073969,1.0204790373403685e+19,8.604949882751042,8.885821654271819,0.00020169617441806318,0.06966633283536049,0.06966633283536049,45.87283887116372,214.81014464614336,65.11003323996553,995.3172277682014
