block,parameter,top_n,min,median,max,direction_vs_1
D3_Kd_rhod_coalescence_escape,capture_scale,25,0.046810583659940425,0.12301671494295391,0.14313168109587032,low
D4_capture_gd_escape,f_n,25,1.6297881107897457e-07,2.3044301891130997e-07,3.612409611498785e-07,near/mixed
D4_capture_gd_escape,K_d,25,394835.12411850545,419036.56168872543,624433.5968377077,near/mixed
D4_capture_gd_escape,rho_d,25,24820877325520.03,25342118191230.574,40147586226449.07,near/mixed
D4_capture_gd_escape,fission_rate,25,7.35867705229705e+19,7.56848920818557e+19,7.875311503990451e+19,near/mixed
D4_capture_gd_escape,Dv_scale,25,1.3489827726965102,1.466623579440933,1.5985775365881023,high
D4_capture_gd_escape,Dg_scale,25,1.334899515132117,1.637547718655645,1.8276269519445727,high
D4_capture_gd_escape,D2_xe_scale,25,0.20032760455052312,3.937337324010667,4.720806793033185,high
D4_capture_gd_escape,b_scale,25,0.2651454339019182,0.31369781400701713,0.38507700992865634,low
D4_capture_gd_escape,gb_scale,25,2.693187836356428,3.070481050842071,3.9905018164839,high
D4_capture_gd_escape,gd_scale,25,2.272695955525704,3.353666184931118,4.304734266055822,high
D4_capture_gd_escape,coalescence_d_scale,25,0.6624669188540513,0.7171668432424002,0.8049389881880725,near/mixed
D4_capture_gd_escape,capture_scale,25,0.06616075838447114,0.14402276248490398,0.2041977695128167,low
E_all_wide_exploratory,f_n,25,2.9910015307339477e-07,5.463736495807149e-07,1.1991699223614997e-06,near/mixed
E_all_wide_exploratory,K_d,25,200816.1180329058,222039.13500231173,266976.0702829431,near/mixed
E_all_wide_exploratory,rho_d,25,39867542952210.48,48130563431252.23,59608867256458.984,near/mixed
E_all_wide_exploratory,fission_rate,25,4.415858791267625e+19,4.723909728246964e+19,4.950784526566572e+19,near/mixed
E_all_wide_exploratory,Dv_scale,25,0.5102149911449385,0.7306184386865572,0.9257994725101192,near/mixed
E_all_wide_exploratory,Dg_scale,25,1.045051099371817,1.2944058561773895,1.6875494469271048,near/mixed
E_all_wide_exploratory,D2_xe_scale,25,0.21300113907223708,0.25513069125584037,0.4075869066952334,low
E_all_wide_exploratory,b_scale,25,0.0500003621980584,0.05600629771644982,0.06099254283124709,low
E_all_wide_exploratory,gb_scale,25,0.5503502898850822,0.6799302268819313,1.078030202015684,low
E_all_wide_exploratory,gd_scale,25,0.3890572395992414,0.4674921447563753,0.6040839986240193,low
E_all_wide_exploratory,coalescence_d_scale,25,0.2803394069375342,0.3935893976435819,0.6333955110686579,low
E_all_wide_exploratory,capture_scale,25,0.5793667040724096,0.8396379555992317,1.3306310001675306,near/mixed
