stage,variant,model_id,description,rizk_coherent,nucleation_gas_coupling,phi_resolution_mode,bulk_dislocation_capture,dt_h,n_modes,f_n,K_d,g_d_scale,seed_nm,score_main,score_swd,score_swig_diag,score_Nd,score_Rd,score_pressure,highT_blowup_diag,probe_swelling_d_1600_13,probe_swelling_ig_1600_13,probe_Nd_1600_13,probe_Rd_nm_1600_13,probe_p_b_over_eq_1600_13,probe_p_d_over_eq_1600_13,probe_capture_fraction
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,1e-06,200000.0,5.0,0.0,1.643939301932562,1.218752213006777,1.653670309172769,0.5627424656200719,0.04466766141676399,0.0,4.424129612641727,3.394497586831039,4.201182294692843,5.207881033277165e+18,115.880033846035,1.0001515847598796,1.2831609174535559,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,1e-10,100000.0,0.5,0.0,1.6578264252151007,1.0495513849219809,2.178754391587349,0.7759819558777755,0.07486065640135098,0.06342605848865748,3.5463902504544333,2.929722457268317,4.630877363870855,2.656780956150628e+18,138.07891753172535,1.0120814525019066,1.476165074626813,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,3e-10,500000.0,1.0,0.0,1.6687281756514525,1.2575201885535454,2.270315166170384,0.46136217454136474,0.12607780702707405,0.0,4.059952372102584,3.9158195258476183,4.929034290598092,1.2725463955170066e+19,90.23052363597081,1.0060297728240364,1.1997734074006767,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,1e-07,200000.0,3.0,0.0,1.6689790429582805,1.2448929230920893,1.7976953028415126,0.563038977169869,0.04277696000976722,7.481920222970895e-05,4.368185350192134,3.484447548657609,4.376616730055259,5.187498234162832e+18,117.04758390673565,1.0004208071675937,1.3109426672787838,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,3e-07,100000.0,3.0,0.0,1.6726745322907774,1.071295026173383,1.451957677692068,0.7756098683277807,0.07482130119140093,0.030388437269837282,4.0312755027849,2.8843093965679927,3.845438541726704,2.6620154022661837e+18,137.2716615703799,1.0002002471291784,1.3950533291811744,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,3e-07,300000.0,2.0,0.0,1.6799826161746974,1.1985634745214473,0.831076464609404,0.5002316749421869,0.1875099559910277,0.0,2.8793349219393423,1.5013800286987036,2.5898025738236985,8.466309029657226e+18,75.08778664803393,1.0001605476864597,1.0035075719771092,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,3e-08,100000.0,1.0,0.0,1.6838831707977757,1.1189036462456174,1.0412770781385874,0.7694347117621585,0.03767889474092499,0.0,2.7436660202078755,1.7580594850501812,3.0785010488992155,2.7920884749243863e+18,114.5526815819548,1.0004216616427055,1.074962623442893,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,1e-08,300000.0,2.0,0.0,1.7101604636746555,1.3282946997922624,2.0503641086297626,0.48041933988446867,0.06510317994752138,0.0,4.380654914293659,3.7875066565024555,4.720795220516379,7.678631007897758e+18,105.59912810229446,1.0012560888208568,1.2659414993760951,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,1e-06,500000.0,3.0,0.0,1.728298397548747,1.2004151512995507,0.7984295093363205,0.4969268932450305,0.2571920299681071,0.0,3.0892090126798855,1.4687670757475657,2.45466089015212,1.4129585291075428e+19,62.841272117504495,1.0001034799342976,1.0017737574852958,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,1e-08,500000.0,1.0,0.0,1.7466376952109015,1.215316578617582,1.0123327066717813,0.49837885513385183,0.26065131142803344,0.0,2.757929415760078,1.4386593161370678,2.784343852556653,1.4147189252149504e+19,62.3830201724036,1.0007516198923072,1.001258559182003,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,3e-07,800000.0,5.0,0.0,1.7498170361357177,1.2470717428369849,1.77345222815153,0.5285269206153297,0.18968064124000306,0.0,4.64965217920653,3.874679578465899,4.517256437876628,2.0397911648526127e+19,76.82817071323034,1.0003803942981493,1.0981604318726148,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,1e-09,300000.0,0.5,0.0,1.7558642919113714,1.2645239072358159,1.223659074891495,0.5021239618892173,0.19979087336157655,0.0,2.2910136353981407,1.374727840005642,3.1175968208541134,8.51078221071872e+18,72.78684256536884,1.002371162006399,1.0019244014804998,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,3e-08,200000.0,1.0,0.0,1.7581245624470703,1.2593743099374262,0.9318005544480826,0.5687713880705768,0.14372897265748638,0.0,2.4815399346170754,1.4082765372360613,2.7285657015187192,5.666013925986323e+18,84.03120002288546,1.0004233001326892,1.0051852488645516,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,3e-08,100000.0,2.0,0.0,1.7623460159346165,1.146214574837401,1.7267689026229853,0.77740364480217,0.08649177106250315,0.05702324995972166,4.15505836326693,3.1486935092510064,4.195825291320153,2.6318408556839777e+18,141.8820272103411,1.000617646660046,1.5197831325306494,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,3e-10,300000.0,1.0,0.0,1.7627755139563805,1.3826149041546978,2.3863023958771596,0.4810338980601262,0.05785417171212502,0.014694804805534728,4.154449953196983,3.994139754855285,5.047482556310482,7.608933807316172e+18,107.8127888900014,1.0060254957368142,1.3600503147261325,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,3e-08,800000.0,3.0,0.0,1.7644557860989913,1.2635380366840587,1.9114126936669658,0.528673299121002,0.18692348575747308,0.0,4.525020023964582,3.9727020340468315,4.672810797783782,2.030983584221408e+19,77.5824797542023,1.001063645865587,1.112102934139478,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,1e-07,800000.0,2.0,0.0,1.7691759969166612,1.1483070006400216,0.8876893365305832,0.573756152851215,0.31319955611541306,0.0,3.1590533865222943,1.546239902639433,2.6117966895046694,2.2534669453586104e+19,54.715750232121145,1.0003163100779515,1.0014188505466919,0.0
FAST,M0_baseline,M0,"Current equations, Rizk-style base model.",yes,False,none,False,24.0,15,1e-08,200000.0,2.0,0.0,1.8007322278454394,1.372018949619107,2.0865579755102353,0.5635382011654562,0.04126455784637295,0.026756734590259373,4.414976556296333,3.7892234118610104,4.736842875578845,5.118696274978311e+18,120.90216576307334,1.001230748121114,1.4212304268591096,0.0
