number,value,params_Dg_dislocation_scale,params_Dv_dislocation_scale,user_attrs_Dg_dislocation_scale,user_attrs_Dv_dislocation_scale,user_attrs_score_Nd_lowT,user_attrs_score_Rd_lowT,user_attrs_score_gas_partition,user_attrs_score_guard,user_attrs_score_matrix_lowT,user_attrs_score_pressure_lowT,user_attrs_score_swelling_d_lowT,user_attrs_score_total,state
39,29.585100451564106,19.454607934787596,78.58406189501562,19.454607934787596,78.58406189501562,1.1339293681594562,0.03151920008051264,1.9954742007825836,6.708100243078895,4.633397512227356,0.0,11.07369151876511,29.585100451564106,COMPLETE
40,9.097763932310295,2.8864382414200764,2.404573479432563,2.8864382414200764,2.404573479432563,1.8003024180137923,0.8539041483561428,0.6296342604299104,0.0,4.3338821453991345,0.0,0.3891986559268989,9.097763932310295,COMPLETE
41,10.520505415239601,1.6561603616776945,3.1607438839612487,1.6561603616776945,3.1607438839612487,1.8450176016885411,1.3446784253794417,1.3376149302571592,0.0,4.330739092555559,0.0,0.6269321393762296,10.520505415239601,COMPLETE
42,9.57762011686329,2.367167522522876,2.5829624027414724,2.367167522522876,2.5829624027414724,1.8202793658054823,1.0154059220775529,0.8645056587735395,0.0,4.332368362717807,0.0,0.4757316224939799,9.57762011686329,COMPLETE
43,9.975180764892773,3.9372250327384863,3.135560232914672,3.9372250327384863,3.135560232914672,1.755962209617909,0.6249006110889865,0.3404345239865648,1.2398126802298493,4.337990621291586,0.0,0.279040009293136,9.975180764892773,COMPLETE
44,8.76084730102599,3.377487921048484,2.4893826504123715,3.377487921048484,2.4893826504123715,1.7801714309779886,0.7353781429614678,0.4684153368927876,0.0,4.335604678324194,0.0,0.3265475172759574,8.76084730102599,COMPLETE
45,10.7654126240027,1.5077442089650173,86.3468482147602,1.5077442089650173,86.3468482147602,1.8497495532094939,1.4370895164397848,1.466000229669631,0.0,4.330162803265625,0.0,0.6564366803629467,10.7654126240027,COMPLETE
46,9.611798251674033,3.664211825294104,1.562520287770429,3.664211825294104,1.562520287770429,1.767927536370139,0.6883714041084784,0.3969186850217961,0.8280224491086728,4.336686832198341,0.0,0.3034867636869981,9.611798251674033,COMPLETE
47,30.345108597838045,98.34288509154284,13.004983153171764,98.34288509154284,13.004983153171764,1.0821657429055722,0.022074181967382065,2.8713755911714283,5.063941265347528,5.249528941460231,0.003557566212814869,11.657658985314297,30.345108597838045,COMPLETE
48,10.961666596199992,6.206343164564894,2.831683889672818,6.206343164564894,2.831683889672818,1.6479239095337985,0.3640214289237096,0.2116482741321522,2.276448112600007,4.352774103889987,0.0,0.32157830890178857,10.961666596199992,COMPLETE
