data_set,obs,group,label,rank,relevance,conditions,bu,T,y,w,pred,lev,cook
B,fraction,NOI,NOI-LG-72 0.98 Xe area,B,1,reported/average,72.0,1023.4499999999999,0.26048899999999997,1.0,0.2341265404585377,0.011977026883976586,7.655742123814345e-05
B,fraction,GER,GER-HBR-E02 0.63 Barani area,U,3,model/literature,64.7,977.75,0.15,1.0,0.15519582074169236,0.012962363211380291,3.224969292173679e-06
B,fraction,GER,GER-HBR-E02 0.82 Barani area,U,3,model/literature,71.2,845.4499999999999,0.41,1.0,0.22461949669406156,0.011996868678362548,0.003792100875000795
B,fraction,GER,GER-HBR-E02 0.94 Barani area,U,3,model/literature,88.4,747.75,0.54,1.0,0.487904163213318,0.021813309488670475,0.0005555006913807095
B,fraction,GER,GER-HBR-E02 0.95 Barani area,U,3,model/literature,90.8,738.95,0.61,1.0,0.536420792694095,0.02613334903557423,0.0013393892068267368
B,radius,GER,GER-HBR-E02 1 dA/2,B,3.0,model/model,149.0,692.15,3.2499999999999996e-07,1.0,1.3809323166917364e-07,0.008638149837973612,0.009588729588037966
B,radius,GER,GER-HBR-E02 0.97 dA/2,B,3,model/literature,101.4,720.8499999999999,3.5899999999999997e-07,1.0,2.092777850992569e-07,0.02777075201394771,0.020567307841134946
B,radius,GER,GER-HBR-E02 0.98 dA/2,B,3,model/literature,110.0,711.55,3.13e-07,1.0,1.6979112325837775e-07,0.015469766109366224,0.01022163091289058
B,fraction,GER,GER-HBR-E02 0.99 Barani area,U,3,model/literature,129.4,701.8499999999999,1.0,1.0,0.999999999,0.0,0.0
B,radius,GER,GER-HBR-E02 0.99 dA/2,B,3.0,model/literature,129.4,701.8499999999999,2.95e-07,1.0,1.4676389679266645e-07,0.009102774781447864,0.00636178867278966
C,theta,ZAC,ZAC-Std-36 0.15 Theta,B,3.0,model/model,35.0,1146.55,0.1136,1.0,0.6599994326589791,0.00806524989930506,0.00021458856450373698
C,fraction,ZAC,ZAC-Std-36 0.15 f10,B,3.0,model/model,35.0,1146.55,0.011000000000000001,1.0,0.0,0.0,0.0
C,theta,ZAC,ZAC-Std-61 0 Theta,B,3.0,model/model,58.5,1196.55,0.5244000000000001,1.0,1.8487345571785088,0.006045147421946528,0.0009410300235239973
C,fraction,ZAC,ZAC-Std-61 0 f10,B,3.0,model/model,58.5,1196.55,0.03,1.0,0.09430383968650097,0.009362151358900655,0.00043391822785554177
C,theta,ZAC,ZAC-Std-61 0.14 Theta,B,3.0,model/model,58.5,1183.9499999999998,0.5484999999999999,1.0,1.8487345571785079,0.006045147421946849,0.0009070922683144271
C,fraction,ZAC,ZAC-Std-61 0.14 f10,B,3.0,model/model,58.5,1183.9499999999998,0.033,1.0,0.09430383968650087,0.009362151358900046,0.00039437505359255035
C,theta,ZAC,ZAC-Std-61 0.3 Theta,B,3.0,model/model,58.5,1139.25,0.8033999999999999,1.0,1.8487345571785083,0.006045147421946404,0.0005862983499728453
C,fraction,ZAC,ZAC-Std-61 0.3 f10,B,3.0,model/model,58.5,1139.25,0.044000000000000004,1.0,0.09430383968650093,0.00936215135890012,0.000265543914970628
C,theta,ZAC,ZAC-Std-61 0.5 Theta,B,3.0,model/model,58.5,1041.25,0.6026,1.0,1.8487345571785074,0.006045147421944628,0.0008331782727551612
C,fraction,ZAC,ZAC-Std-61 0.5 f10,B,3.0,model/model,58.5,1041.25,0.052000000000000005,1.0,0.09430383968650083,0.009362151358897178,0.0001877991651417927
C,theta,ZAC,ZAC-Std-61 0.58 Theta,B,3.0,model/model,58.5,990.4499999999999,0.443,1.0,1.8487345571785088,0.006045147421944858,0.0010602656679078242
C,fraction,ZAC,ZAC-Std-61 0.58 f10,B,3.0,model/model,58.5,990.4499999999999,0.035,1.0,0.09430383968650097,0.00936215135889812,0.00036906232055627496
C,theta,ZAC,ZAC-Std-61 0.75 Theta,B,3.0,model/model,58.6,864.25,0.9528000000000001,1.0,1.8557123085740612,0.006049490975201497,0.0004377386918691129
C,fraction,ZAC,ZAC-Std-61 0.75 f10,B,3.0,model/model,58.6,864.25,0.06,1.0,0.09507914539711791,0.009368878242493283,0.00012922600720521318
C,theta,ZAC,ZAC-Std-61 0.86 Theta,B,3.0,model/model,59.5,771.8499999999999,0.7834000000000001,1.0,1.9194500203244456,0.006093392264666946,0.0006980674138481392
C,fraction,ZAC,ZAC-Std-61 0.86 f10,B,3.0,model/model,59.5,771.8499999999999,0.067,1.0,0.10216111336938284,0.009436868398587693,0.00013079076306740049
C,theta,ZAC,ZAC-Std-61 0.9825 Theta,B,3.0,model/model,83.7,659.45,7.295,1.0,4.45882718177174,0.01308782927760883,0.009477863927417807
C,fraction,ZAC,ZAC-Std-61 0.9825 f10,B,3.0,model/model,83.7,659.45,0.621,1.0,0.38431413130797115,0.020269189500918654,0.013012350918401389
C,radius,ZAC,ZAC-Std-61 0.9825 ECD50/2,B,3.0,model/model,83.7,659.45,3e-07,1.0,3.664230875691444e-07,0.04236462429256044,0.006931821713067128
C,theta,ZAC,ZAC-Std-61 0.9875 Theta,B,3.0,model/model,88.9,654.3499999999999,8.7404,1.0,5.28410922104938,0.017540200996026385,0.019035312480238813
C,fraction,ZAC,ZAC-Std-61 0.9875 f10,B,3.0,model/model,88.9,654.3499999999999,0.833,1.0,0.4760121356721533,0.027164600815879594,0.040236459560468965
C,radius,ZAC,ZAC-Std-61 0.9875 ECD50/2,B,3.0,model/model,88.9,654.3499999999999,3e-07,1.0,3.138689058880072e-07,0.03253317790387116,0.00022737619657106696
C,theta,ZAC,ZAC-Std-61 0.9925 Theta,B,3.0,model/model,95.8,649.25,9.865600000000002,1.0,6.592505039947408,0.02693142348982073,0.026719239974075194
C,fraction,ZAC,ZAC-Std-61 0.9925 f10,B,3.0,model/model,95.8,649.25,0.9840000000000001,1.0,0.6213894488830454,0.04170883610000927,0.06569044965175068
C,radius,ZAC,ZAC-Std-61 0.9925 ECD50/2,B,3.0,model/model,95.8,649.25,3e-07,1.0,2.565478589947848e-07,0.023356186983428846,0.0015723823692943679
C,theta,ZAC,ZAC-Std-61 0.9975 Theta,B,3.0,model/model,105.8,643.8499999999999,10.0,1.0,9.02239792407293,0.05238582217100873,0.004888879934441319
C,fraction,ZAC,ZAC-Std-61 0.9975 f10,B,3.0,model/model,105.8,643.8499999999999,1.0,1.0,0.8913775471192145,0.08113019617106647,0.012471021704613816
C,radius,ZAC,ZAC-Std-61 0.9975 ECD50/2,B,3.0,model/model,105.8,643.8499999999999,3.5e-07,1.0,1.927196909769356e-07,0.014637580203045335,0.012683300248274586
C,theta,ZAC,ZAC-Std-63 0 Theta,B,3.0,model/model,60.4,1164.15,0.7468999999999999,1.0,1.9849089894623562,0.0061462060330401535,0.0008362655142177299
C,fraction,ZAC,ZAC-Std-63 0 f10,B,3.0,model/model,60.4,1164.15,0.027999999999999997,1.0,0.10943433216248402,0.0095186613572742,0.0007077609818874466
C,theta,ZAC,ZAC-Std-63 1 Theta,U,3.0,model/model,121.0,677.45,10.0,0.25,10.0,0.0,0.0
C,fraction,ZAC,ZAC-Std-63 1 f10,U,3.0,model/model,121.0,677.45,1.0,0.25,0.999999999,0.0,0.0
