Time (s),Average dC (atm/m^3)
3480000.0,1.6564974059006747e+24
3490000.0,1.6565433093312177e+24
3500000.0,1.6565844843904617e+24
3510000.0,1.656628306795859e+24
3520000.0,1.6566745159289435e+24
3530000.0,1.6567196162033595e+24
3540000.0,1.656762247626399e+24
3550000.0,1.656806527127751e+24
3560000.0,1.6568486064022314e+24
3570000.0,1.6568910841088744e+24
3580000.0,1.656933476440321e+24
3590000.0,1.6569740069406138e+24
3600000.0,1.65701444875871e+24
3610000.0,1.6570521947767364e+24
3620000.0,1.657090932111009e+24
3630000.0,1.657128983558201e+24
3640000.0,1.6571667137899148e+24
3650000.0,1.657202735941674e+24
3660000.0,1.657240229176312e+24
3670000.0,1.6572749175141729e+24
3680000.0,1.6573092125848587e+24
3690000.0,1.65734539182427e+24
3700000.0,1.6573789928790452e+24
3710000.0,1.6574103186620067e+24
3720000.0,1.657442405163195e+24
3730000.0,1.6574744272771808e+24
3740000.0,1.657507903466333e+24
3750000.0,1.6575397507135805e+24
3760000.0,1.6575721790380877e+24
3770000.0,1.657602980678296e+24
3780000.0,1.6576349817530258e+24
3790000.0,1.6576661943492568e+24
3800000.0,1.6576958248313018e+24
3810000.0,1.6577254062642772e+24
3820000.0,1.6577541225963532e+24
3830000.0,1.657782739570223e+24
3840000.0,1.6578103768883737e+24
3850000.0,1.6578352357483445e+24
3860000.0,1.657863483845825e+24
3870000.0,1.6578906528866734e+24
3880000.0,1.6579167987960116e+24
3890000.0,1.6579430347119085e+24
3900000.0,1.6579672938596925e+24
3910000.0,1.6579897876182741e+24
3920000.0,1.6580139549356623e+24
3930000.0,1.6580377729210227e+24
3940000.0,1.6580626734710844e+24
3950000.0,1.6580862456735173e+24
3960000.0,1.658109755132047e+24
3970000.0,1.6581331560118784e+24
3980000.0,1.658156053538187e+24
3990000.0,1.6581755290011894e+24
4000000.0,1.658198996364092e+24
4010000.0,1.6582185171561933e+24
4020000.0,1.658241168328145e+24
4030000.0,1.6582638357652088e+24
4040000.0,1.6582845957170903e+24
4050000.0,1.6583054685209755e+24
4060000.0,1.6583258544420438e+24
4070000.0,1.6583446104895827e+24
4080000.0,1.6583653988153947e+24
4090000.0,1.6583858392389444e+24
4100000.0,1.65840608404811e+24
