x1,,,y1,,,z1,,,x2,,,y2,,,z2,,,UO2_Basak (J/m^2),Type,Axis Set,,,,CeO2_Gotte (J/m^2),,,
4,2,5,-5,5,2,-7,-11,10,2,0,-1,1,-1,2,-1,-5,-2,1.82,MX,110,,,,,,,
4,2,5,2,1,-2,-1,2,0,2,0,-1,0,1,0,1,0,2,1.63,MX,110,,,,,,,
4,-1,-1,1,-1,5,-2,-7,-1,0,1,-1,1,-1,-1,-2,-1,-1,1.75,MX,110,,,,,,,
1,1,-4,1,-1,0,-2,-2,-1,-1,1,0,1,1,-4,-2,-2,-1,1.79,MX,110,,,,,,,
-1,2,2,0,1,-1,-4,-1,-1,2,-2,-1,1,-1,4,-1,-1,0,1.85,MX,110,,,,,,,
1,-1,-3,1,-2,1,-7,-4,-1,-1,1,-3,1,-2,-1,-7,-4,1,1.79,MX,110,,,,,,,
1,-1,-3,1,-2,1,-7,-4,-1,1,-1,3,-1,2,1,-7,-4,1,1.39,MX,110,,,,,,,
-1,3,-2,1,-1,-2,-4,-2,-1,-1,3,2,-1,1,-2,-4,-2,1,1.82,MX,110,,,,,,,
2,-1,-4,1,-2,1,-3,-2,-1,2,-1,4,-1,2,1,-3,-2,1,1.43,MX,110,,,,,,,
1,1,-5,1,-1,0,-5,-5,-2,1,-1,-1,0,-1,1,-2,-1,-1,1.30,MX,110,,,,,,,
-2,2,1,0,1,-2,-5,-4,-2,0,0,1,-1,2,0,-2,-1,0,2.00,MX,110,,,,,,,
-2,2,1,0,1,-2,-5,-4,-2,2,-2,1,0,1,2,-5,-4,2,1.78,MX,110,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,-1,-10,11,7,-4,-3,1,1,1,10,1,-11,-4,7,-3,1.47,ST,111,,,,2.27,,,
1,1,1,-1,-7,8,5,-3,-2,1,1,1,7,1,-8,-3,5,-2,1.69,ST,111,,,,2.33,,,
1,1,1,-1,-5,6,11,-7,-4,1,1,1,5,1,-6,-7,11,-4,1.54,ST,111,,,,2.01,,,
1,1,1,-1,-4,5,3,-2,-1,1,1,1,4,1,-5,-2,3,-1,1.53,ST,111,,,,2.51,,,
1,1,1,-1,-3,4,7,-5,-2,1,1,1,3,1,-4,-5,7,-2,1.67,ST,111,,,,2.47,,,
1,1,1,-2,-5,7,4,-3,-1,1,1,1,5,2,-7,-3,4,-1,1.81,ST,111,,,,2.26,,,
1,1,1,-1,-2,3,5,-4,-1,1,1,1,2,1,-3,-4,5,-1,1.57,ST,111,,,,2.23,,,
1,1,1,-4,-7,11,6,-5,-1,1,1,1,7,4,-11,-5,6,-1,1.80,ST,111,,,,2.46,,,
1,1,1,-3,-5,8,13,-11,-2,1,1,1,5,3,-8,-11,13,-2,1.73,ST,111,,,,2.37,,,
1,1,1,-2,-3,5,8,-7,-1,1,1,1,3,2,-5,-7,8,-1,1.66,ST,111,,,,2.37,,,
1,1,1,-3,-4,7,11,-10,-1,1,1,1,4,3,-7,-10,11,-1,1.84,ST,111,,,,2.70,,,
1,1,1,-1,-1,2,1,-1,0,1,1,1,1,1,-2,-1,1,0,1.81,ST,111,,,,2.60,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,0,-1,-1,2,-1,1,1,1,8,-3,-5,-2,13,-11,1.47,AT,111,,,,,,,
1,1,1,8,7,-15,-22,23,-1,1,1,1,1,-1,0,1,1,-2,1.83,AT,111,,,,,,,
1,1,1,6,5,-11,-16,17,-1,1,1,1,1,-1,0,1,1,-2,1.80,AT,111,,,,,,,
1,1,1,11,-10,-1,3,4,-7,1,1,1,3,-1,-2,-1,5,-4,1.78,AT,111,,,,,,,
1,1,1,3,2,-5,-7,8,-1,1,1,1,1,-1,0,1,1,-2,1.81,AT,111,,,,,,,
1,1,1,5,3,-8,-11,13,-2,1,1,1,1,-1,0,1,1,-2,1.83,AT,111,,,,,,,
1,1,1,11,-10,-1,3,4,-7,1,1,1,7,-2,-5,-1,4,-3,1.77,AT,111,,,,,,,
1,1,1,2,1,-3,-4,5,-1,1,1,1,1,-1,0,1,1,-2,1.75,AT,111,,,,,,,
1,1,1,11,-10,-1,3,4,-7,1,1,1,5,-1,-4,-1,3,-2,1.87,AT,111,,,,,,,
1,1,1,3,1,-4,-5,7,-2,1,1,1,1,-1,0,1,1,-2,1.82,AT,111,,,,,,,
1,1,1,11,-10,-1,3,4,-7,1,1,1,1,0,-1,-1,2,-1,1.73,AT,111,,,,,,,
1,1,1,2,1,-3,-4,5,-1,1,1,1,3,-2,-1,1,4,-5,1.76,AT,111,,,,,,,
1,1,1,3,2,-5,-7,8,-1,1,1,1,5,-3,-2,1,7,-8,1.74,AT,111,,,,,,,
1,1,1,6,-1,-5,-4,11,-7,1,1,1,5,-6,1,7,4,-11,1.86,AT,111,,,,,,,
1,1,1,4,-1,-3,-2,7,-5,1,1,1,3,-4,1,5,2,-7,1.72,AT,111,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
-17,16,1,-5,-6,11,1,1,1,-16,17,-1,-6,-5,11,1,1,1,0.97,TW,111,,,,1.20,,,
-11,10,1,-3,-4,7,1,1,1,-10,11,-1,-4,-3,7,1,1,1,1.16,TW,111,,,,1.40,,,
-9,8,1,-7,-10,17,1,1,1,-8,9,-1,-10,-7,17,1,1,1,1.22,TW,111,,,,1.48,,,
-7,6,1,-5,-8,13,1,1,1,-6,7,-1,-8,-5,13,1,1,1,1.26,TW,111,,,,1.56,,,
-6,5,1,-4,-7,11,1,1,1,-5,6,-1,-7,-4,11,1,1,1,1.24,TW,111,,,,1.59,,,
-11,9,2,-7,-13,20,1,1,1,-9,11,-2,-13,-7,20,1,1,1,1.23,TW,111,,,,1.57,,,
